index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,shot_freeze_frame,match_id,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,player_id,player_name,position_id,position_name,pass_length,pass_angle,pass_pass_success_probability,pass_recipient_id,pass_recipient_name,pass_height_id,pass_height_name,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,out,counterpress,shot_statsbomb_xg,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_gk_positioning_xg_suppression,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,shot_first_time,off_camera,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_shot_assist,pass_inswinging,pass_cross,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_no_touch,shot_saved_off_target,goalkeeper_shot_saved_off_target,50_50_outcome_id,50_50_outcome_name,pass_cut_back,block_offensive,foul_committed_advantage,foul_won_advantage,pass_miscommunication,dribble_nutmeg,pass_deflected,block_deflection,pass_outswinging,clearance_other,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_save_block,miscontrol_aerial_won,shot_aerial_won,foul_committed_offensive,pass_straight,ball_recovery_offensive,shot_deflected,shot_open_goal,goalkeeper_punched_out,foul_committed_penalty,foul_won_penalty,shot_shot_shot_assist,dribble_no_touch,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_shot_goal_assist,shot_follows_dribble,goalkeeper_lost_out,goalkeeper_lost_in_play,player_off_permanent,shot_redirect,goalkeeper_success_out,goalkeeper_success_in_play,x,y,end_x,end_y,carry_end_x,carry_end_y,goalkeeper_end_x,goalkeeper_end_y,shot_end_x,shot_end_y,shot_end_z,prog_pass,prog_carry,pass_or_carry_angle,phase,count_hi,count_hsr,count_high_acceleration,count_high_deceleration,count_medium_acceleration,count_medium_deceleration,count_sprint,high_intensity_hi_distance,high_speed_running_hsr_distance,m/min,max_speed,running_distance,sprinting_distance,total_distance,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,Shoter_x,Shoter_y,in_box
1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1894,Sagan Tosu,1,Regular Play,1894,Sagan Tosu,442.0,"[{'jersey_number': 71, 'player.id': 37488, 'player.name': 'Il-Gyu Park', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 42, 'player.id': 202949, 'player.name': 'Wataru Harada', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 2, 'player.id': 95965, 'player.name': 'Kosuke Yamazaki', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 20, 'player.id': 96073, 'player.name': 'Tae-Hyeon Kim', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 28, 'player.id': 38540, 'player.name': 'Yusuke Maruhashi', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 6, 'player.id': 37246, 'player.name': 'Akito Fukuta', 'position.id': 9, 'position.name': 'Right Defensive Midfield'}, {'jersey_number': 5, 'player.id': 203520, 'player.name': 'So Kawahara', 'position.id': 11, 'position.name': 'Left Defensive Midfield'}, {'jersey_number': 88, 'player.id': 100086, 'player.name': 'Yoichi Naganuma', 'position.id': 12, 'position.name': 'Right Midfield'}, {'jersey_number': 41, 'player.id': 93109, 'player.name': 'Ryonosuke Kabayama', 'position.id': 16, 'position.name': 'Left Midfield'}, {'jersey_number': 99, 'player.id': 76410, 'player.name': 'Marcelo Ryan Silvestre dos Santos', 'position.id': 22, 'position.name': 'Right Center Forward'}, {'jersey_number': 21, 'player.id': 100366, 'player.name': 'Yuki Horigome', 'position.id': 24, 'position.name': 'Left Center Forward'}]",,3925233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1894,Sagan Tosu,1,Regular Play,4629,Albirex Niigata,4231.0,"[{'jersey_number': 1, 'player.id': 124242, 'player.name': 'Ryosuke Kojima', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 25, 'player.id': 94182, 'player.name': 'Soya Fujiwara', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 5, 'player.id': 98084, 'player.name': 'Michael James Fitzgerald', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 3, 'player.id': 33446, 'player.name': 'Thomas Deng', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 2, 'player.id': 100015, 'player.name': 'Naoto Arai', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 8, 'player.id': 381358, 'player.name': 'Eiji Miyamoto', 'position.id': 9, 'position.name': 'Right Defensive Midfield'}, {'jersey_number': 6, 'player.id': 94186, 'player.name': 'Hiroki Akiyama', 'position.id': 11, 'position.name': 'Left Defensive Midfield'}, {'jersey_number': 22, 'player.id': 43733, 'player.name': 'Eitaro Matsuda', 'position.id': 17, 'position.name': 'Right Wing'}, {'jersey_number': 7, 'player.id': 94173, 'player.name': 'Kaito Taniguchi', 'position.id': 19, 'position.name': 'Center Attacking Midfield'}, {'jersey_number': 16, 'player.id': 119562, 'player.name': 'Yota Komi', 'position.id': 21, 'position.name': 'Left Wing'}, {'jersey_number': 9, 'player.id': 42956, 'player.name': 'Koji Suzuki', 'position.id': 23, 'position.name': 'Center Forward'}]",,3925233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,00:00:00.000,0,0,1,0.0,18,Half Start,1894,Sagan Tosu,1,Regular Play,4629,Albirex Niigata,,,,3925233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,00:00:00.000,0,0,1,0.0,18,Half Start,1894,Sagan Tosu,1,Regular Play,1894,Sagan Tosu,,,,3925233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,00:00:01.206,0,1,2,1.1358,30,Pass,4629,Albirex Niigata,9,From Kick Off,4629,Albirex Niigata,,,,3925233,0.0151,0.0068,0.0083,0.0095,0.0097,-0.0002,0.0085,42956.0,Koji Suzuki,23.0,Center Forward,13.5059,-2.6813,0.9986,94186.0,Hiroki Akiyama,1.0,Ground Pass,40.0,Right Foot,65.0,Kick Off,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,40.1,48.9,34.1,,,,,,,,-12.344291346601317,0.0,-153.62466925374733,,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,0.01484598,0.01262646,-0.002219519999999999,,,
6,1,00:00:02.342,0,2,2,,42,Ball Receipt*,4629,Albirex Niigata,9,From Kick Off,4629,Albirex Niigata,,,,3925233,,,,,,,,94186.0,Hiroki Akiyama,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,34.1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,00:00:02.342,0,2,2,0.8488,43,Carry,4629,Albirex Niigata,9,From Kick Off,4629,Albirex Niigata,,,,3925233,0.0153,0.0151,0.0002,0.0098,0.0095,0.0003,-0.0001,94186.0,Hiroki Akiyama,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,34.1,,,49.8,34.8,,,,,,0.0,0.9520469647625732,,,,,,,,,,,,,,,,,4.0,3.0,4.0,3.0,0.01262646,0.01262646,0.0,,,
8,1,00:00:03.191,0,3,2,2.0038,30,Pass,4629,Albirex Niigata,9,From Kick Off,4629,Albirex Niigata,,,,3925233,0.0133,0.0153,-0.002,0.0105,0.0098,0.0007,-0.0026,94186.0,Hiroki Akiyama,11.0,Left Defensive Midfield,27.8887,2.126,0.9939,98084.0,Michael James Fitzgerald,1.0,Ground Pass,40.0,Right Foot,,,45.0,Midfield third - Center - To right - Short - Ground Pass,0.9888,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,34.8,35.1,58.5,,,,,,,,-16.49990297637075,0.0,121.80938928779314,,,,,,,,,,,,,,,,4.0,3.0,3.0,5.0,0.01262646,0.01110462,-0.00152184,,,
9,1,00:00:05.195,0,5,2,,42,Ball Receipt*,4629,Albirex Niigata,9,From Kick Off,4629,Albirex Niigata,,,,3925233,,,,,,,,98084.0,Michael James Fitzgerald,3.0,Right Center Back,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,58.5,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,00:00:05.195,0,5,2,3.2675,30,Pass,4629,Albirex Niigata,9,From Kick Off,4629,Albirex Niigata,,,,3925233,0.0107,0.0133,-0.0027,0.0057,0.0105,-0.0048,0.0021,98084.0,Michael James Fitzgerald,3.0,Right Center Back,40.5819,0.2617,0.2285,94173.0,Kaito Taniguchi,3.0,High Pass,40.0,Right Foot,,,41.0,Defensive third - Right - Forwards - Long - High Pass,0.9425,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,59.6,75.0,70.1,,,,,,,,32.312339181391735,0.0,14.995079129175975,,,,,,,,,,,,,,,,,,,,,,,,,
