index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,shot_freeze_frame,match_id,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,player_id,player_name,position_id,position_name,pass_length,pass_angle,pass_pass_success_probability,pass_recipient_id,pass_recipient_name,pass_height_id,pass_height_name,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,out,counterpress,shot_statsbomb_xg,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_gk_positioning_xg_suppression,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,shot_first_time,off_camera,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_shot_assist,pass_inswinging,pass_cross,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_no_touch,shot_saved_off_target,goalkeeper_shot_saved_off_target,50_50_outcome_id,50_50_outcome_name,pass_cut_back,block_offensive,foul_committed_advantage,foul_won_advantage,pass_miscommunication,dribble_nutmeg,pass_deflected,block_deflection,pass_outswinging,clearance_other,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_save_block,miscontrol_aerial_won,shot_aerial_won,foul_committed_offensive,pass_straight,ball_recovery_offensive,shot_deflected,shot_open_goal,goalkeeper_punched_out,foul_committed_penalty,foul_won_penalty,shot_shot_shot_assist,dribble_no_touch,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_shot_goal_assist,shot_follows_dribble,goalkeeper_lost_out,goalkeeper_lost_in_play,player_off_permanent,shot_redirect,goalkeeper_success_out,goalkeeper_success_in_play,x,y,end_x,end_y,carry_end_x,carry_end_y,goalkeeper_end_x,goalkeeper_end_y,shot_end_x,shot_end_y,shot_end_z,prog_pass,prog_carry,pass_or_carry_angle,phase,count_hi,count_hsr,count_high_acceleration,count_high_deceleration,count_medium_acceleration,count_medium_deceleration,count_sprint,high_intensity_hi_distance,high_speed_running_hsr_distance,m/min,max_speed,running_distance,sprinting_distance,total_distance,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,Shoter_x,Shoter_y,in_box
1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,4609,FC Machida Zelvia,1,Regular Play,4609,FC Machida Zelvia,442.0,"[{'jersey_number': 1, 'player.id': 37269, 'player.name': 'Kosei Tani', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 6, 'player.id': 96770, 'player.name': 'Junya Suzuki', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 5, 'player.id': 23518, 'player.name': 'Ibrahim Dresevic', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 14, 'player.id': 95992, 'player.name': 'Min-gyu Jang', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 26, 'player.id': 386237, 'player.name': 'Kotaro Hayashi', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 45, 'player.id': 37247, 'player.name': 'Kai Shibato', 'position.id': 9, 'position.name': 'Right Defensive Midfield'}, {'jersey_number': 8, 'player.id': 43069, 'player.name': 'Keiya Sento', 'position.id': 11, 'position.name': 'Left Defensive Midfield'}, {'jersey_number': 39, 'player.id': 208850, 'player.name': 'Byron Gustavo Andrés Vásquez Maragaño', 'position.id': 12, 'position.name': 'Right Midfield'}, {'jersey_number': 7, 'player.id': 168650, 'player.name': 'Yu Hirakawa', 'position.id': 16, 'position.name': 'Left Midfield'}, {'jersey_number': 90, 'player.id': 41144, 'player.name': 'Se-Hun Oh', 'position.id': 22, 'position.name': 'Right Center Forward'}, {'jersey_number': 10, 'player.id': 41711, 'player.name': 'Sang-Ho Na', 'position.id': 24, 'position.name': 'Left Center Forward'}]",,3925232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,4609,FC Machida Zelvia,1,Regular Play,1885,Gamba Osaka,4231.0,"[{'jersey_number': 22, 'player.id': 37514, 'player.name': 'Jun Ichimori', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 3, 'player.id': 95966, 'player.name': 'Riku Handa', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 5, 'player.id': 37506, 'player.name': 'Genta Miura', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 20, 'player.id': 37121, 'player.name': 'Shinnosuke Nakatani', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 4, 'player.id': 43005, 'player.name': 'Keisuke Kurokawa', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 23, 'player.id': 25290, 'player.name': 'Dawhan Fran Urano Da Purificação Oliveira', 'position.id': 9, 'position.name': 'Right Defensive Midfield'}, {'jersey_number': 16, 'player.id': 99772, 'player.name': 'Tokuma Suzuki', 'position.id': 11, 'position.name': 'Left Defensive Midfield'}, {'jersey_number': 15, 'player.id': 95176, 'player.name': 'Takeru Kishimoto', 'position.id': 17, 'position.name': 'Right Wing'}, {'jersey_number': 9, 'player.id': 95933, 'player.name': 'Kota Yamada', 'position.id': 19, 'position.name': 'Center Attacking Midfield'}, {'jersey_number': 47, 'player.id': 38282, 'player.name': 'Juan Matheus Alano Nascimento', 'position.id': 21, 'position.name': 'Left Wing'}, {'jersey_number': 13, 'player.id': 232843, 'player.name': 'Isa Sakamoto', 'position.id': 23, 'position.name': 'Center Forward'}]",,3925232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,00:00:00.000,0,0,1,0.0,18,Half Start,4609,FC Machida Zelvia,1,Regular Play,1885,Gamba Osaka,,,,3925232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,00:00:00.000,0,0,1,0.0,18,Half Start,4609,FC Machida Zelvia,1,Regular Play,4609,FC Machida Zelvia,,,,3925232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,00:00:00.762,0,0,2,1.4037,30,Pass,1885,Gamba Osaka,9,From Kick Off,1885,Gamba Osaka,,,,3925232,0.0138,0.0074,0.0063,0.0106,0.0086,0.002,0.0043,95933.0,Kota Yamada,19.0,Center Attacking Midfield,20.573,-2.9509,0.9984,37121.0,Shinnosuke Nakatani,1.0,Ground Pass,40.0,Right Foot,65.0,Kick Off,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,40.0,39.8,36.1,,,,,,,,-20.29476944359452,0.0,-169.07239784402768,,,,,,,,,,,,,,,,5.0,3.0,3.0,3.0,0.01484598,0.01132376,-0.0035222199999999995,,,
6,1,00:00:02.166,0,2,2,,42,Ball Receipt*,1885,Gamba Osaka,9,From Kick Off,1885,Gamba Osaka,,,,3925232,,,,,,,,37121.0,Shinnosuke Nakatani,5.0,Left Center Back,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,36.1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,00:00:02.166,0,2,2,1.4935,43,Carry,1885,Gamba Osaka,9,From Kick Off,1885,Gamba Osaka,,,,3925232,0.0143,0.0138,0.0005,0.01,0.0106,-0.0006,0.0012,37121.0,Shinnosuke Nakatani,5.0,Left Center Back,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,36.1,,,39.4,38.2,,,,,,0.0,-0.3253273065334809,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,0.01132376,0.01132376,0.0,,,
8,1,00:00:03.659,0,3,2,4.4906,30,Pass,1885,Gamba Osaka,9,From Kick Off,1885,Gamba Osaka,,,,3925232,0.0111,0.0143,-0.0032,0.0082,0.01,-0.0018,-0.0015,37121.0,Shinnosuke Nakatani,5.0,Left Center Back,57.4913,0.7965,0.5623,95176.0,Takeru Kishimoto,3.0,High Pass,40.0,Right Foot,,,34.0,Midfield third - Left - To right - Long - High Pass,0.455,,,75.0,Out,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,38.2,79.6,79.3,,,,,,,,24.25831892153213,0.0,45.63424471442613,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,00:00:08.150,0,8,2,,42,Ball Receipt*,1885,Gamba Osaka,9,From Kick Off,1885,Gamba Osaka,,,,3925232,,,,,,,,95176.0,Takeru Kishimoto,17.0,Right Wing,,,,,,,,,,,,,,,,,,1,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.8,75.2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,00:00:16.613,0,16,3,1.8689,30,Pass,4609,FC Machida Zelvia,4,From Throw In,4609,FC Machida Zelvia,,,,3925232,0.0244,0.0082,0.0161,0.0084,0.0111,-0.0026,0.0187,386237.0,Kotaro Hayashi,6.0,Left Back,35.0343,0.2187,0.3843,41144.0,Se-Hun Oh,3.0,High Pass,,,67.0,Throw-in,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,0.1,78.5,7.7,,,,,,,,32.98320567765967,0.0,12.528807709151511,,,,,,,,,,,,,,,,,,,,,,,,,
