index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,shot_freeze_frame,match_id,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,player_id,player_name,position_id,position_name,pass_length,pass_angle,pass_pass_success_probability,pass_recipient_id,pass_recipient_name,pass_height_id,pass_height_name,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,out,counterpress,shot_statsbomb_xg,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_gk_positioning_xg_suppression,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,shot_first_time,off_camera,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_shot_assist,pass_inswinging,pass_cross,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_no_touch,shot_saved_off_target,goalkeeper_shot_saved_off_target,50_50_outcome_id,50_50_outcome_name,pass_cut_back,block_offensive,foul_committed_advantage,foul_won_advantage,pass_miscommunication,dribble_nutmeg,pass_deflected,block_deflection,pass_outswinging,clearance_other,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_save_block,miscontrol_aerial_won,shot_aerial_won,foul_committed_offensive,pass_straight,ball_recovery_offensive,shot_deflected,shot_open_goal,goalkeeper_punched_out,foul_committed_penalty,foul_won_penalty,shot_shot_shot_assist,dribble_no_touch,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_shot_goal_assist,shot_follows_dribble,goalkeeper_lost_out,goalkeeper_lost_in_play,player_off_permanent,shot_redirect,goalkeeper_success_out,goalkeeper_success_in_play,x,y,end_x,end_y,carry_end_x,carry_end_y,goalkeeper_end_x,goalkeeper_end_y,shot_end_x,shot_end_y,shot_end_z,prog_pass,prog_carry,pass_or_carry_angle,phase,count_hi,count_hsr,count_high_acceleration,count_high_deceleration,count_medium_acceleration,count_medium_deceleration,count_sprint,high_intensity_hi_distance,high_speed_running_hsr_distance,m/min,max_speed,running_distance,sprinting_distance,total_distance,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,Shoter_x,Shoter_y,in_box
1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1889,Sanfrecce Hiroshima,1,Regular Play,1889,Sanfrecce Hiroshima,3421.0,"[{'jersey_number': 1, 'player.id': 38272, 'player.name': 'Keisuke Osako', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 33, 'player.id': 51133, 'player.name': 'Tsukasa Shiotani', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 4, 'player.id': 38269, 'player.name': 'Hayato Araki', 'position.id': 4, 'position.name': 'Center Back'}, {'jersey_number': 19, 'player.id': 38281, 'player.name': 'Sho Sasaki', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 15, 'player.id': 202944, 'player.name': 'Shuto Nakano', 'position.id': 7, 'position.name': 'Right Wing Back'}, {'jersey_number': 24, 'player.id': 38264, 'player.name': 'Shunki Higashi', 'position.id': 8, 'position.name': 'Left Wing Back'}, {'jersey_number': 11, 'player.id': 213697, 'player.name': 'Makoto Mitsuta', 'position.id': 9, 'position.name': 'Right Defensive Midfield'}, {'jersey_number': 8, 'player.id': 95883, 'player.name': 'Takumu Kawamura', 'position.id': 11, 'position.name': 'Left Defensive Midfield'}, {'jersey_number': 77, 'player.id': 43767, 'player.name': 'Yuki Ohashi', 'position.id': 18, 'position.name': 'Right Attacking Midfield'}, {'jersey_number': 51, 'player.id': 97650, 'player.name': 'Mutsuki Kato', 'position.id': 20, 'position.name': 'Left Attacking Midfield'}, {'jersey_number': 20, 'player.id': 16296, 'player.name': 'Pieros Soteriou', 'position.id': 23, 'position.name': 'Center Forward'}]",,3925226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1889,Sanfrecce Hiroshima,1,Regular Play,1882,Urawa Reds,433.0,"[{'jersey_number': 1, 'player.id': 37259, 'player.name': 'Shusaku Nishikawa', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 2, 'player.id': 3530, 'player.name': 'Hiroki Sakai', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 28, 'player.id': 24471, 'player.name': 'Alexander Scholz', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 5, 'player.id': 41305, 'player.name': 'Marius Høibråten', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 13, 'player.id': 95367, 'player.name': 'Ryoma Watanabe', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 11, 'player.id': 23222, 'player.name': 'Samuel Gustafson', 'position.id': 10, 'position.name': 'Center Defensive Midfield'}, {'jersey_number': 3, 'player.id': 95369, 'player.name': 'Atsuki Ito', 'position.id': 13, 'position.name': 'Right Center Midfield'}, {'jersey_number': 8, 'player.id': 95366, 'player.name': 'Yoshio Koizumi', 'position.id': 15, 'position.name': 'Left Center Midfield'}, {'jersey_number': 24, 'player.id': 37806, 'player.name': 'Yusuke Matsuo', 'position.id': 17, 'position.name': 'Right Wing'}, {'jersey_number': 14, 'player.id': 24480, 'player.name': 'Takahiro Sekine', 'position.id': 21, 'position.name': 'Left Wing'}, {'jersey_number': 12, 'player.id': 11220, 'player.name': 'Thiago Santos Santana', 'position.id': 23, 'position.name': 'Center Forward'}]",,3925226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,00:00:00.000,0,0,1,0.0,18,Half Start,1889,Sanfrecce Hiroshima,1,Regular Play,1889,Sanfrecce Hiroshima,,,,3925226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,00:00:00.000,0,0,1,0.0,18,Half Start,1889,Sanfrecce Hiroshima,1,Regular Play,1882,Urawa Reds,,,,3925226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,00:00:00.854,0,0,2,1.0281,30,Pass,1882,Urawa Reds,9,From Kick Off,1882,Urawa Reds,,,,3925226,0.0143,0.0074,0.0069,0.0097,0.0086,0.0011,0.0057,11220.0,Thiago Santos Santana,23.0,Center Forward,12.9,3.1416,0.9988,23222.0,Samuel Gustafson,1.0,Ground Pass,38.0,Left Foot,65.0,Kick Off,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,40.0,47.1,40.0,,,,,,,,-12.900000000000006,0.0,180.0,,,,,,,,,,,,,,,,5.0,3.0,4.0,3.0,0.01484598,0.01262646,-0.002219519999999999,,,
6,1,00:00:01.882,0,1,2,,42,Ball Receipt*,1882,Urawa Reds,9,From Kick Off,1882,Urawa Reds,,,,3925226,,,,,,,,23222.0,Samuel Gustafson,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,40.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,00:00:01.882,0,1,2,0.793,43,Carry,1882,Urawa Reds,9,From Kick Off,1882,Urawa Reds,,,,3925226,0.0146,0.0143,0.0003,0.0105,0.0097,0.0008,-0.0005,23222.0,Samuel Gustafson,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,40.0,,,46.1,40.5,,,,,,0.0,-1.0016914556087784,,,,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,0.01262646,0.01262646,0.0,,,
8,1,00:00:02.675,0,2,2,1.4538,30,Pass,1882,Urawa Reds,9,From Kick Off,1882,Urawa Reds,,,,3925226,0.0125,0.0146,-0.0021,0.011,0.0105,0.0004,-0.0025,23222.0,Samuel Gustafson,10.0,Center Defensive Midfield,27.0658,1.385,0.9909,3530.0,Hiroki Sakai,1.0,Ground Pass,40.0,Right Foot,,,1.0,Midfield third - Center - To right - Short - Ground Pass,0.8245,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,40.5,51.1,67.1,,,,,,,,-0.1362717794775818,0.0,79.35433665503967,,,,,,,,,,,,,,,,4.0,4.0,5.0,6.0,0.01262646,0.0138454,0.00121894,,,
9,1,00:00:04.129,0,4,2,,42,Ball Receipt*,1882,Urawa Reds,9,From Kick Off,1882,Urawa Reds,,,,3925226,,,,,,,,3530.0,Hiroki Sakai,2.0,Right Back,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,67.1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,00:00:04.129,0,4,2,1.559,43,Carry,1882,Urawa Reds,9,From Kick Off,1882,Urawa Reds,,,,3925226,0.0155,0.0125,0.003,0.0097,0.011,-0.0013,0.0042,3530.0,Hiroki Sakai,2.0,Right Back,,,,,,,,,,,,,,,True,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,67.1,,,57.4,69.1,,,,,,0.0,5.004855236097939,,,,,,,,,,,,,,,,,5.0,6.0,5.0,6.0,0.0138454,0.0138454,0.0,,,
11,1,00:00:04.684,0,4,2,1.0847,17,Pressure,1882,Urawa Reds,9,From Kick Off,1889,Sanfrecce Hiroshima,,,,3925226,,,,,,,,97650.0,Mutsuki Kato,20.0,Left Attacking Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,15.3,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,00:00:05.688,0,5,2,0.0,22,Foul Committed,1882,Urawa Reds,9,From Kick Off,1889,Sanfrecce Hiroshima,,,,3925226,0.0097,0.011,-0.0013,0.0155,0.0125,0.003,-0.0042,97650.0,Mutsuki Kato,20.0,Left Attacking Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,11.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
