index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,shot_freeze_frame,match_id,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,player_id,player_name,position_id,position_name,pass_length,pass_angle,pass_pass_success_probability,pass_recipient_id,pass_recipient_name,pass_height_id,pass_height_name,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,out,counterpress,shot_statsbomb_xg,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_gk_positioning_xg_suppression,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,shot_first_time,off_camera,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_shot_assist,pass_inswinging,pass_cross,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_no_touch,shot_saved_off_target,goalkeeper_shot_saved_off_target,50_50_outcome_id,50_50_outcome_name,pass_cut_back,block_offensive,foul_committed_advantage,foul_won_advantage,pass_miscommunication,dribble_nutmeg,pass_deflected,block_deflection,pass_outswinging,clearance_other,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_save_block,miscontrol_aerial_won,shot_aerial_won,foul_committed_offensive,pass_straight,ball_recovery_offensive,shot_deflected,shot_open_goal,goalkeeper_punched_out,foul_committed_penalty,foul_won_penalty,shot_shot_shot_assist,dribble_no_touch,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_shot_goal_assist,shot_follows_dribble,goalkeeper_lost_out,goalkeeper_lost_in_play,player_off_permanent,shot_redirect,goalkeeper_success_out,goalkeeper_success_in_play,x,y,end_x,end_y,carry_end_x,carry_end_y,goalkeeper_end_x,goalkeeper_end_y,shot_end_x,shot_end_y,shot_end_z,prog_pass,prog_carry,pass_or_carry_angle,phase,count_hi,count_hsr,count_high_acceleration,count_high_deceleration,count_medium_acceleration,count_medium_deceleration,count_sprint,high_intensity_hi_distance,high_speed_running_hsr_distance,m/min,max_speed,running_distance,sprinting_distance,total_distance,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,Shoter_x,Shoter_y,in_box
1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1884,Nagoya Grampus,1,Regular Play,1884,Nagoya Grampus,352.0,"[{'jersey_number': 1, 'player.id': 37112, 'player.name': 'Mitchell James Langerak', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 2, 'player.id': 38273, 'player.name': 'Yuki Nogami', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 20, 'player.id': 100359, 'player.name': 'Kennedy Egbus Mikuni', 'position.id': 4, 'position.name': 'Center Back'}, {'jersey_number': 4, 'player.id': 379894, 'player.name': 'Shion Inoue', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 25, 'player.id': 381369, 'player.name': 'Tojiro Kubo', 'position.id': 7, 'position.name': 'Right Wing Back'}, {'jersey_number': 66, 'player.id': 37238, 'player.name': 'Ryosuke Yamanaka', 'position.id': 8, 'position.name': 'Left Wing Back'}, {'jersey_number': 15, 'player.id': 37115, 'player.name': 'Sho Inagaki', 'position.id': 10, 'position.name': 'Center Defensive Midfield'}, {'jersey_number': 14, 'player.id': 38265, 'player.name': 'Tsukasa Morishima', 'position.id': 13, 'position.name': 'Right Center Midfield'}, {'jersey_number': 7, 'player.id': 38286, 'player.name': 'Ryuji Izumi', 'position.id': 15, 'position.name': 'Left Center Midfield'}, {'jersey_number': 10, 'player.id': 37516, 'player.name': 'Anderson Patric Aguiar Oliveira', 'position.id': 22, 'position.name': 'Right Center Forward'}, {'jersey_number': 77, 'player.id': 24336, 'player.name': 'Kasper Junker', 'position.id': 24, 'position.name': 'Left Center Forward'}]",,3925227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1884,Nagoya Grampus,1,Regular Play,1881,Kashima Antlers,4231.0,"[{'jersey_number': 1, 'player.id': 126936, 'player.name': 'Tomoki Hayakawa', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 32, 'player.id': 426611, 'player.name': 'Kimito Nono', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 55, 'player.id': 24015, 'player.name': 'Naomichi Ueda', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 5, 'player.id': 38278, 'player.name': 'Ikuma Sekigawa', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 2, 'player.id': 30011, 'player.name': 'Koki Anzai', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 13, 'player.id': 38527, 'player.name': 'Kei Chinen', 'position.id': 9, 'position.name': 'Right Defensive Midfield'}, {'jersey_number': 25, 'player.id': 95954, 'player.name': 'Kaishu Sano', 'position.id': 11, 'position.name': 'Left Defensive Midfield'}, {'jersey_number': 14, 'player.id': 43053, 'player.name': 'Yuta Higuchi', 'position.id': 17, 'position.name': 'Right Wing'}, {'jersey_number': 8, 'player.id': 38280, 'player.name': 'Shoma Doi', 'position.id': 19, 'position.name': 'Center Attacking Midfield'}, {'jersey_number': 33, 'player.id': 42233, 'player.name': 'Hayato Nakama', 'position.id': 21, 'position.name': 'Left Wing'}, {'jersey_number': 7, 'player.id': 32751, 'player.name': 'Aleksandar Čavrić', 'position.id': 23, 'position.name': 'Center Forward'}]",,3925227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,00:00:00.000,0,0,1,0.0,18,Half Start,1884,Nagoya Grampus,1,Regular Play,1884,Nagoya Grampus,,,,3925227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,00:00:00.000,0,0,1,0.0,18,Half Start,1884,Nagoya Grampus,1,Regular Play,1881,Kashima Antlers,,,,3925227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,00:00:00.567,0,0,2,0.4,30,Pass,1881,Kashima Antlers,9,From Kick Off,1881,Kashima Antlers,,,,3925227,0.0147,0.0068,0.0079,0.0105,0.0097,0.0008,0.0071,38280.0,Shoma Doi,19.0,Center Attacking Midfield,25.3748,2.7874,0.9982,24015.0,Naomichi Ueda,1.0,Ground Pass,40.0,Right Foot,65.0,Kick Off,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,40.1,37.2,48.9,,,,,,,,-24.27686284485288,0.0,159.708232332006,,,,,,,,,,,,,,,,6.0,4.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,,,
6,1,00:00:00.967,0,0,2,,42,Ball Receipt*,1881,Kashima Antlers,9,From Kick Off,1881,Kashima Antlers,,,,3925227,,,,,,,,24015.0,Naomichi Ueda,3.0,Right Center Back,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,48.9,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,00:00:00.967,0,0,2,2.8434,43,Carry,1881,Kashima Antlers,9,From Kick Off,1881,Kashima Antlers,,,,3925227,0.0146,0.0147,-0.0001,0.0107,0.0105,0.0002,-0.0003,24015.0,Naomichi Ueda,3.0,Right Center Back,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,48.9,,,37.1,49.5,,,,,,0.0,-0.1656074997587637,,,,,,,,,,,,,,,,,3.0,4.0,3.0,4.0,0.01132376,0.01132376,0.0,,,
8,1,00:00:03.811,0,3,2,2.008,30,Pass,1881,Kashima Antlers,9,From Kick Off,1881,Kashima Antlers,,,,3925227,0.019,0.0146,0.0044,0.0095,0.0107,-0.0012,0.0056,24015.0,Naomichi Ueda,3.0,Right Center Back,54.9754,-0.7507,0.4196,42233.0,Hayato Nakama,3.0,High Pass,40.0,Right Foot,,,25.0,Midfield third - Right - To left - Long - High Pass,0.4487,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,49.5,77.3,12.0,,,,,,,,32.38092566077022,0.0,-43.00982775024511,,,,,,,,,,,,,,,,3.0,4.0,7.0,1.0,0.01132376,0.01870347,0.007379709999999999,,,
9,1,00:00:05.645,0,5,2,0.4271,17,Pressure,1881,Kashima Antlers,9,From Kick Off,1884,Nagoya Grampus,,,,3925227,,,,,,,,381369.0,Tojiro Kubo,7.0,Right Wing Back,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,68.9,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,00:00:05.819,0,5,2,,42,Ball Receipt*,1881,Kashima Antlers,9,From Kick Off,1881,Kashima Antlers,,,,3925227,,,,,,,,42233.0,Hayato Nakama,21.0,Left Wing,,,,,,,,,,,,,,,True,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,12.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
