Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Anderson José Lopes de Souza,5,5,0,0,2,2,1,3,2,28.88,0.51,0.27,20,18,2,90.0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,4,3,8,6,2,2,9,9,0.05,-0.02,0.02,22,3,1,0,0,1,2,5.02,182.45,0.21,-0.02,0.19,0,0,20,2,0,11,7,3,1,3,1,100.0,0.61,45.55,Tae-Hee Nam(5),,,,,,,,,,,,,,,,,,,,58,30,12,-0.2825999999999999,-0.0119,-0.2706999999999999,161.0,115.0,69.0,115.0,644.0,437.0,46.0,2774.6878000000015,1873.322400000001,2621.5722000000005,29.22,3717.579699999999,901.3653999999999,39323.578400000006,200.0,125.0,25.0,75.0,700.0,425.0,75.0,4401.5975,3101.0475,2289.0049999999997,29.9292,3396.8125,1300.55,34335.075,161.0,69.0,46.0,46.0,598.0,414.0,92.0,2176.1427000000003,1705.1602000000005,2158.2762999999995,26.4288,2998.6043,470.98250000000013,37338.19769999999,112.0,98.0,14.0,14.0,378.0,252.0,14.0,1113.9058,991.5093999999999,1446.2139999999997,25.8761,1881.3466000000005,122.39639999999997,21693.2016,32.0,16.0,40.0,24.0,128.0,104.0,16.0,799.4408,469.7376,656.2024,29.598,591.0808,329.7032,9843.04,30.0,15.0,60.0,60.0,420.0,315.0,15.0,540.2084999999998,241.35000000000002,1165.8854999999999,28.496,1072.9530000000002,298.8585,24036.657000000007
José Elber Pimentel da Silva,5,4,0,1,0,3,1,2,3,19.01,0.33,0.0,65,52,13,80.0,5,2,0,0,0,10,4,0,0,4,3,2,2,9,6,3,2,21,18,20,12,7,6,33,32,0.47,-0.12,0.35,64,8,0,0,1,0,6,4.66,429.16,0.21,-0.04,0.17,2,1,59,3,0,16,20,2,2,6,2,100.0,0.49,32.1,Ren Kato(15),,,,,,,,,,,,,,,,,,,,136,93,7,0.0644,0.0139892496999999,0.0504107503,360.0,360.0,200.0,240.0,1440.0,1080.0,0.0,3768.032,3768.032,4699.236,24.9534,9729.640000000001,0.0,70488.512,408.0,170.0,170.0,204.0,816.0,714.0,238.0,7277.4552,4182.863600000001,3388.0252000000005,32.6336,6028.914,3094.5916,50820.4018,225.0,135.0,180.0,135.0,1395.0,1440.0,90.0,3001.0769999999998,1871.3700000000001,4321.2735,32.6234,7389.908999999999,1129.7069999999997,74758.03649999997,216.0,108.0,324.0,216.0,936.0,612.0,108.0,4319.4564,3051.1944,4202.0928,28.9229,6452.607599999999,1268.2619999999997,63031.374,105.0,63.0,63.0,42.0,462.0,273.0,42.0,2120.1978,1249.3193999999999,2013.5324999999996,32.8824,1830.3999000000003,870.8784000000002,30202.987499999996,549.0,427.0,427.0,122.0,2379.0,2135.0,122.0,5926.784399999999,3950.9150999999993,6201.985900000001,28.742,14813.703599999997,1975.8693,127864.3204
Yan Matheus Santos Souza,5,3,0,0,1,3,1,2,3,22.08,0.3,0.58,65,47,18,72.31,7,1,0,0,0,15,2,0,0,3,1,1,1,10,8,5,2,12,9,26,17,5,5,19,15,0.55,-0.07,0.48,73,10,1,0,1,1,6,3.79,477.91,0.34,-0.08,0.27,9,4,61,2,0,17,18,2,1,6,0,100.0,0.33,35.3,Takumi Kamijima(15),,,,,,,,,,,,,,,,,,,,140,93,8,0.9573,0.0184817730999999,0.9388182269,342.0,304.0,114.0,38.0,1292.0,1140.0,38.0,3674.5012,3261.6083999999996,4679.764600000001,28.1075,10849.8208,412.89279999999985,70196.46519999999,455.0,245.0,210.0,210.0,1085.0,840.0,210.0,11122.296499999999,7800.5864999999985,3797.7905,31.9702,8798.345500000003,3321.71,56966.882000000005,440.0,396.0,132.0,176.0,1716.0,1232.0,44.0,3473.4876,3037.7116,4828.9515999999985,29.5599,9356.784800000003,435.77599999999995,83540.86839999996,310.0,217.0,124.0,62.0,868.0,775.0,93.0,4169.1745,2339.883099999999,3569.154,31.3965,7490.740800000001,1829.2913999999994,53537.294499999996,440.0,352.0,220.0,44.0,1232.0,1188.0,88.0,6487.5492,4560.437200000001,4151.822399999999,30.9938,7763.2676,1927.112,62277.35359999999,924.0,858.0,660.0,528.0,2640.0,2442.0,66.0,7888.689599999998,7199.563800000001,6778.4178,30.6877,17107.556399999998,689.1192,139748.3142
Kazuya Konno,3,3,1,0,0,1,1,1,2,42.82,0.18,0.37,23,14,8,60.87,1,1,0,0,0,7,3,0,0,4,2,1,1,1,0,0,0,7,5,13,6,2,2,7,6,0.11,-0.04,0.07,24,9,0,0,0,2,3,8.63,279.86,0.14,-0.0,0.14,2,1,23,1,1,5,9,1,1,0,0,100.0,0.12,31.4,Masato Yuzawa(5),,,,,,,,,,,,,,,,,,,,48,33,4,0.4492,-0.0061,0.4553,527.0,248.0,217.0,279.0,1271.0,930.0,279.0,11018.751600000003,7215.938200000002,4276.028399999999,31.1817,8141.4711,3802.8103,64140.44149999997,104.0,52.0,78.0,65.0,429.0,377.0,52.0,1596.8069000000003,993.2883999999999,1399.4773,28.2322,2144.1004000000003,603.5172,20992.151700000002,234.0,198.0,108.0,126.0,648.0,684.0,36.0,3020.6322,2653.4664000000002,2237.2236,28.3931,5676.557400000001,367.1658,38703.977999999996,308.0,224.0,140.0,252.0,980.0,812.0,84.0,3819.9616000000005,2796.3880000000004,3311.0588000000007,28.8593,6941.396000000001,1023.5763999999999,49665.88480000001,80.0,72.0,32.0,24.0,240.0,160.0,8.0,780.6384,711.376,847.6192,26.6492,1324.02,69.2616,10482.224,,,,,,,,,,,,,,
Jun Amano,2,2,0,0,0,0,2,1,1,18.47,0.07,0.0,26,18,8,69.23,2,0,0,0,0,7,1,0,0,1,0,0,0,7,1,0,0,9,7,8,7,3,3,11,7,0.04,-0.04,-0.0,21,0,0,0,0,0,2,4.22,84.82,0.06,-0.01,0.05,4,0,20,2,0,9,10,2,1,1,0,100.0,0.23,28.0,Takumi Kamijima(6),,,,,,,,,,,,,,,,,,,,56,42,5,-0.1206,0.0032073649,-0.1238073649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,216.0,108.0,180.0,972.0,900.0,36.0,3496.3164000000006,2536.959600000001,4093.6824,29.0316,6362.240400000001,959.3568000000002,52944.94440000001,768.0,528.0,288.0,672.0,2736.0,1920.0,240.0,8016.6288,6793.7424,5829.3984,27.0405,17388.6192,1222.8864,120182.79359999999
Yuto Iwasaki,2,2,0,0,0,1,1,0,2,30.98,0.27,0.0,24,19,5,79.17,0,1,0,0,0,5,2,0,0,2,1,0,0,0,0,1,1,3,1,4,3,0,0,19,15,0.21,-0.05,0.16,29,3,0,0,1,2,1,3.54,234.4,0.1,-0.01,0.09,0,0,31,1,0,14,8,1,0,1,0,100.0,0.19,49.0,Yota Maejima(10),,,,,,,,,,,,,,,,,,,,54,30,3,-0.4062,-0.094102848,-0.312097152,416.0,208.0,130.0,182.0,1352.0,988.0,208.0,7949.253,5040.206599999999,3996.3222000000005,31.7937,10363.703999999998,2909.0463999999997,59944.83039999999,595.0,385.0,385.0,210.0,1050.0,1085.0,210.0,8816.051999999998,6318.9035,4442.269999999999,31.1316,13446.569500000001,2497.1520000000005,66634.0465,644.0,532.0,224.0,308.0,1260.0,1036.0,112.0,7241.102400000002,6239.73,3648.4027999999994,29.3225,10505.46,1001.3723999999999,63117.37600000001,399.0,294.0,147.0,168.0,756.0,630.0,105.0,5859.7980000000025,4484.9427,2840.3172000000004,29.5001,7170.66,1374.8553,42604.76849999999,368.0,322.0,92.0,138.0,851.0,621.0,46.0,3229.505900000001,2944.6025999999983,2815.956699999999,27.2557,6430.264099999998,284.90329999999994,42239.36429999999,399.0,285.0,152.0,266.0,1026.0,741.0,114.0,6147.0206,4808.1077,2508.9803999999995,29.3345,7671.7496999999985,1338.9129,51726.825500000006
Wellington Luis de Sousa,2,2,0,0,2,0,0,2,0,10.05,0.2,0.85,27,14,12,51.85,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,4,1,7,4,13,6,3,1,8,7,0.02,-0.01,0.01,22,2,0,0,0,1,1,3.0,127.75,0.07,-0.01,0.06,0,0,40,2,0,6,6,4,4,7,2,97.5,0.45,61.05,Masato Shigemi(5),,,,,,,,,,,,,,,,,,,,70,28,10,0.4362030622,0.0511999999999999,0.3850030622,583.0,424.0,265.0,265.0,2279.0,2226.0,159.0,9447.096300000003,5311.1723999999995,6739.580700000001,30.2402,17432.399599999997,4135.9292000000005,101093.71579999999,88.0,44.0,154.0,132.0,616.0,484.0,44.0,2127.2327999999998,1648.4291999999998,2279.3232,28.3368,2680.4448,478.8036,34189.83919999999,448.0,384.0,256.0,256.0,1280.0,1408.0,64.0,4318.4384,3961.2192,3759.5136,27.9713,9404.4288,357.2224,65039.6032,360.0,240.0,270.0,330.0,990.0,720.0,120.0,5796.014999999999,4074.648000000001,3385.92,30.9959,9062.808,1721.3669999999997,50788.79399999998,112.0,84.0,56.0,56.0,476.0,378.0,28.0,1118.5607999999997,930.0703999999997,1457.6940000000004,26.5188,2222.6848000000005,188.49039999999997,21865.417,459.0,405.0,324.0,324.0,1458.0,1458.0,54.0,4599.369,3919.6898999999994,3295.62,28.3442,10453.049999999997,679.6791000000002,67944.717
Tae-Hee Nam,1,1,0,0,1,0,0,1,0,2.77,0.34,0.52,34,34,0,100.0,10,1,0,0,0,6,0,0,0,0,0,3,3,3,3,1,1,5,5,17,17,1,1,14,14,0.32,-0.04,0.28,29,1,0,0,0,0,1,3.72,158.62,0.04,-0.01,0.03,1,0,30,1,0,3,9,1,0,1,0,100.0,0.31,48.1,Ren Kato(7),,,,,,,,,,,,,,,,,,,,73,34,2,-0.0118,-0.0032021988999999,-0.0085978011,768.0,624.0,192.0,192.0,1728.0,1488.0,144.0,12004.2528,9749.0928,6994.444799999999,28.4803,21031.9296,2255.1600000000003,104916.7008,286.0,234.0,52.0,0.0,858.0,728.0,52.0,3210.766,2823.1242,2939.0192,30.1354,7226.4712,387.64179999999993,44085.269799999995,300.0,275.0,100.0,125.0,1025.0,925.0,25.0,2780.1850000000004,2576.0750000000003,2854.455,30.1232,7084.462499999999,204.1125,49382.072499999995,253.0,184.0,253.0,92.0,736.0,759.0,69.0,3262.0991999999987,2790.2243000000003,3023.9066000000007,29.2813,4631.3582000000015,471.8749,45358.61279999998,0.0,0.0,4.0,0.0,4.0,16.0,0.0,7.1732,7.1732,337.7496,20.2511,108.7728,0.0,692.3868,,,,,,,,,,,,,,
Seiya Inoue,1,1,0,0,1,0,0,0,1,,0.08,0.03,16,10,6,62.5,5,0,0,0,0,2,0,0,0,0,0,4,1,2,1,0,0,4,1,11,6,0,0,3,3,0.06,-0.0,0.06,13,0,0,0,0,0,0,3.26,74.15,0.0,-0.0,-0.0,0,0,10,0,0,0,0,0,0,1,0,100.0,0.0,63.45,Masato Yuzawa(3),,,,,,,,,,,,,,,,,,,,25,0,0,0.102,-0.0092982369999999,0.111298237,66.0,44.0,33.0,44.0,341.0,275.0,22.0,954.4413999999998,655.3745000000001,1225.9543999999999,31.1921,1619.7456000000002,299.068,18389.3094,54.0,27.0,63.0,54.0,234.0,270.0,27.0,873.4842,507.186,813.0132,31.2121,1274.8761,366.2973,12195.2034,39.0,13.0,26.0,52.0,468.0,325.0,26.0,1125.2501,1048.6748999999998,1238.7505,25.5249,1978.0787000000005,76.5752,21430.386900000005,117.0,78.0,26.0,13.0,338.0,351.0,39.0,1425.1743999999999,1158.4832999999999,1360.4877000000001,27.3474,1205.4627,266.6898,20407.316800000004,18.0,12.0,9.0,9.0,75.0,63.0,6.0,221.5281,170.2857,255.06480000000002,27.7229,233.60789999999997,51.2427,3825.9732,39.0,26.0,65.0,65.0,507.0,533.0,13.0,333.66709999999995,292.4766,1265.9387,26.7788,1897.7217999999996,41.19050000000001,26099.4396
Ken Matsubara,1,1,0,0,0,1,0,0,1,33.76,0.01,0.0,101,83,18,82.18,13,3,0,0,0,15,2,0,0,3,1,8,4,6,5,5,4,27,23,46,32,6,6,39,37,0.52,-0.11,0.41,82,4,0,0,0,0,0,2.2,310.75,0.07,-0.01,0.06,0,0,85,1,0,3,8,1,0,3,0,100.0,0.11,47.2,Takumi Kamijima(27),,,,,,,,,,,,,,,,,,,,191,75,2,0.1252022678,0.0170048903,0.1081973775,490.0,245.0,147.0,196.0,2352.0,2156.0,245.0,10208.2435,6726.166299999999,6581.856399999999,28.2097,17328.502099999998,3482.0821,98727.86559999999,240.0,240.0,180.0,180.0,870.0,570.0,0.0,1859.8229999999994,1748.0219999999997,3148.5209999999993,26.3091,6390.933000000001,111.80099999999996,47227.83300000002,432.0,384.0,240.0,240.0,2208.0,2064.0,48.0,4462.6416,4313.8992,5877.672,25.5148,12095.8704,148.7424,101683.7136,231.0,132.0,99.0,132.0,1089.0,1221.0,99.0,3033.8286000000003,2080.2936,4361.082,27.6839,10464.3528,953.535,65416.2333,322.0,322.0,92.0,230.0,1564.0,1242.0,0.0,3087.4096,3087.4096,4842.010599999998,23.5162,7572.4418000000005,0.0,72630.15900000003,783.0,522.0,435.0,522.0,4350.0,3480.0,261.0,11767.124100000006,9598.788300000007,10048.317300000002,31.2583,21329.128800000006,2168.3358000000007,207162.82529999997
