match_id,home_team,away_team,home_score,away_score
3925339,Kashiwa Reysol,Kashima Antlers,1,2
3925340,Sanfrecce Hiroshima,Nagoya Grampus,2,2
3925341,Avispa Fukuoka,Kawasaki Frontale,1,1
3925342,Kyoto Sanga FC,FC Machida Zelvia,0,3
3925343,Consadole Sapporo,Tokyo,1,2
3925344,Gamba Osaka,Cerezo Osaka,1,0
3925345,Tokyo Verdy,Júbilo Iwata,3,2
3925346,Yokohama F. Marinos,Sanfrecce Hiroshima,3,2
3925347,Shonan Bellmare,FC Machida Zelvia,0,0
3925348,Albirex Niigata,Urawa Reds,2,4
3925349,Júbilo Iwata,Sagan Tosu,0,2
3925350,Kyoto Sanga FC,Avispa Fukuoka,1,3
3925351,Kawasaki Frontale,Consadole Sapporo,3,0
3925352,Nagoya Grampus,Gamba Osaka,0,1
3925353,Cerezo Osaka,Vissel Kobe,1,4
3925354,Tokyo,Kashiwa Reysol,3,3
3925355,Kashima Antlers,Tokyo Verdy,3,3
3925356,Urawa Reds,Kyoto Sanga FC,3,0
3925357,Sagan Tosu,Kawasaki Frontale,5,2
3925358,Sanfrecce Hiroshima,Kashima Antlers,1,3
3925359,Vissel Kobe,Avispa Fukuoka,1,0
3925360,Nagoya Grampus,Tokyo,3,1
3925361,Albirex Niigata,Yokohama F. Marinos,3,1
3925362,FC Machida Zelvia,Cerezo Osaka,2,1
3925363,Tokyo Verdy,Gamba Osaka,0,0
3925364,Kashiwa Reysol,Shonan Bellmare,2,1
3925365,Consadole Sapporo,Júbilo Iwata,1,0
3925366,Avispa Fukuoka,Cerezo Osaka,0,3
3925367,Sagan Tosu,Nagoya Grampus,0,2
3925368,Shonan Bellmare,Albirex Niigata,2,1
3925369,Kyoto Sanga FC,Sanfrecce Hiroshima,0,5
3925370,Kashima Antlers,Vissel Kobe,1,0
3925371,Tokyo,Yokohama F. Marinos,1,1
3925372,Gamba Osaka,Kawasaki Frontale,3,1
3925373,Júbilo Iwata,Urawa Reds,1,1
3925374,FC Machida Zelvia,Tokyo Verdy,4,0
3925375,Kashiwa Reysol,Consadole Sapporo,2,1
3925376,Júbilo Iwata,Shonan Bellmare,3,2
3925377,Albirex Niigata,Avispa Fukuoka,1,2
3925378,Yokohama F. Marinos,Sagan Tosu,0,1
3925379,Consadole Sapporo,Kashima Antlers,0,3
3925380,Kawasaki Frontale,Kashiwa Reysol,1,1
3925381,Nagoya Grampus,Kyoto Sanga FC,1,1
3925382,Cerezo Osaka,Sanfrecce Hiroshima,1,1
3925383,Urawa Reds,FC Machida Zelvia,1,2
