Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Erison Danilo de Souza,4,4,1,0,0,2,1,2,2,44.42,0.5,0.66,19,16,3,84.21,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,5,3,10,9,1,1,8,6,0.04,-0.02,0.02,22,1,0,0,2,0,1,2.48,96.78,0.49,-0.0,0.49,2,1,19,3,0,8,8,3,0,1,1,100.0,0.25,37.6,Asahi Sasaki(6),,,,,,,,,,,,,,,,,,,,61,37,12,0.0745954029999999,0.0264958389,0.0480995640999999,102.0,51.0,51.0,102.0,578.0,408.0,51.0,1547.4811,1045.6632,1890.2147,29.3012,3714.8638,501.8179,28353.2222,114.0,95.0,95.0,95.0,475.0,418.0,19.0,1571.2373,1345.3463000000002,1925.3022999999998,25.8903,2674.9055000000008,225.89289999999994,28879.543999999998,220.0,180.0,60.0,60.0,680.0,640.0,40.0,3116.466,2585.5540000000005,2096.7619999999997,31.1424,3063.5360000000005,530.9119999999999,33862.689999999995,296.0,185.0,148.0,259.0,888.0,518.0,111.0,5318.5131999999985,4085.643599999999,3527.546700000001,30.7437,4874.0507,1232.8695999999998,52913.204200000015,168.0,28.0,168.0,224.0,588.0,448.0,140.0,4070.7716000000005,1894.3540000000003,2157.5568,31.0479,3614.169999999999,2176.4176000000007,32363.346400000002,16.0,16.0,8.0,0.0,80.0,80.0,0.0,240.6936,240.6936,408.9584,23.2545,452.052,0.0,3203.5064
Masaki Ikeda,2,2,1,0,0,0,1,0,2,,0.07,0.26,24,17,6,70.83,4,0,0,0,0,4,1,0,0,2,0,0,0,1,1,2,1,5,3,11,5,1,1,9,9,0.17,-0.02,0.15,22,0,0,0,1,0,0,0.74,24.68,0.03,-0.0,0.03,1,0,21,0,0,1,6,0,0,0,0,100.0,0.03,42.5,Satoshi Tanaka(8),,,,,,,,,,,,,,,,,,,,63,34,2,0.0336,-0.0931,0.1267,420.0,270.0,60.0,210.0,1290.0,1110.0,150.0,4647.7829999999985,3847.6679999999997,3464.13,27.097,9210.047999999997,800.1119999999999,51961.946999999986,225.0,175.0,100.0,125.0,825.0,700.0,50.0,2705.9425,2091.5175,2782.6625,31.1168,6163.235000000001,614.4275,41739.93750000001,276.0,184.0,92.0,253.0,1265.0,874.0,92.0,4043.2619999999993,3203.4353999999985,2570.8618000000006,28.5395,7866.8233999999975,839.8242999999999,41519.40220000001,70.0,50.0,60.0,50.0,340.0,250.0,20.0,980.39,801.3580000000001,1027.921,29.9541,2556.328,179.03199999999998,15418.813000000002,63.0,45.0,45.0,27.0,180.0,144.0,18.0,860.3352,795.0825,705.4110000000001,25.1867,1229.1048,65.2527,10581.1713,27.0,27.0,0.0,18.0,117.0,72.0,0.0,290.99699999999996,290.99699999999996,478.197,24.7461,484.6221,0.0,4160.3139
Yasuto Wakizaka,2,2,1,1,0,0,0,1,1,24.29,0.3,0.41,41,31,9,75.61,3,1,0,0,0,7,1,0,0,2,0,1,1,0,0,0,0,12,7,23,14,6,5,12,12,0.09,-0.03,0.06,38,2,0,1,1,0,0,1.91,135.91,0.1,-0.06,0.04,0,0,35,0,1,4,6,2,0,0,0,100.0,0.08,39.9,Akihiro Ienaga(10),,,,,,,,,,,,,,,,,,,,94,46,8,-0.1045,0.034603756,-0.139103756,240.0,160.0,60.0,100.0,600.0,660.0,80.0,3343.6639999999998,2447.3899999999994,2262.912,30.2182,4785.463999999999,896.2740000000001,33943.694,377.0,319.0,116.0,290.0,1218.0,1015.0,58.0,3615.8592,2937.0880999999986,3293.3415000000014,29.917,9960.148600000002,678.7710999999998,49400.142800000016,380.0,266.0,190.0,152.0,1444.0,1444.0,114.0,4970.4988,4396.2808,4461.6597999999985,28.6295,10229.524000000001,574.218,72055.79380000001,242.0,198.0,110.0,154.0,638.0,506.0,44.0,2305.919,1636.0432000000005,2356.4926,28.9111,5490.663200000001,669.8757999999999,35347.3934,288.0,288.0,216.0,252.0,792.0,792.0,0.0,2819.9591999999993,2819.9591999999993,3052.692,24.6598,6941.631599999999,0.0,45790.354799999994,174.0,116.0,58.0,87.0,1131.0,1218.0,58.0,2757.2996999999996,2320.7800999999995,2410.4538999999995,26.9263,7338.870500000003,436.5195999999999,50699.89960000001
Satoshi Tanaka,2,2,0,1,0,0,1,1,1,17.27,0.06,0.0,38,33,4,86.84,0,1,0,0,0,3,2,0,0,0,0,1,1,0,0,2,2,12,9,23,18,2,2,11,11,0.07,-0.03,0.05,38,1,0,0,1,0,1,1.59,126.03,0.05,-0.0,0.04,2,0,36,1,0,1,4,0,0,0,0,100.0,0.19,53.5,Daiki Sugioka(9),,,,,,,,,,,,,,,,,,,,75,22,1,0.1068031907,-0.1462902574,0.2530934481,252.0,216.0,54.0,234.0,810.0,540.0,36.0,2856.9563999999996,2587.5143999999996,2165.9508,26.7859,6181.9956,269.4402,32489.2746,540.0,459.0,351.0,270.0,837.0,1161.0,81.0,4851.991800000001,4212.6237,3472.6995,27.383,11438.355599999999,639.3680999999999,52090.50870000001,340.0,306.0,170.0,340.0,1564.0,1360.0,34.0,3248.3974,3064.9503999999997,4007.0190000000002,25.9812,13807.678800000002,183.4436,64713.3288,294.0,231.0,42.0,189.0,840.0,567.0,63.0,3609.689999999999,2913.1998000000012,2430.0003,28.7047,6405.879900000001,696.4902000000001,36450.0003,140.0,100.0,40.0,80.0,640.0,400.0,40.0,1387.2640000000001,1152.2240000000002,1657.9100000000003,26.7147,4105.818,235.04000000000005,24868.655999999995,459.0,408.0,255.0,357.0,2907.0,1989.0,51.0,3750.3003000000003,3317.9222999999997,4635.4257,28.9857,18293.195099999997,432.37800000000004,107310.09960000002
Asahi Sasaki,1,1,0,0,0,0,1,0,1,22.35,0.01,0.0,71,61,9,85.92,18,0,0,0,0,7,0,0,0,1,1,3,2,0,0,5,3,21,20,45,37,2,2,20,19,0.18,-0.05,0.13,54,2,0,0,1,0,1,2.2,217.41,0.03,-0.01,0.02,0,0,56,1,0,4,4,0,0,5,0,100.0,0.09,56.5,Kota Takai(16),,,,,,,,,,,,,,,,,,,,129,27,0,0.1166,0.099003011,0.0175969889999999,360.0,288.0,72.0,180.0,1152.0,1152.0,72.0,3302.4239999999995,3024.2807999999995,4081.4819999999995,26.6379,7845.804000000001,278.1468,61222.23,468.0,416.0,156.0,260.0,2028.0,1924.0,52.0,5893.794400000001,5733.0936,5649.644,25.4342,10938.252000000004,160.70079999999993,84744.68080000003,539.0,441.0,343.0,245.0,1960.0,1862.0,98.0,6918.824500000001,4182.115699999999,5379.670799999999,29.635,12617.9606,2736.7038999999995,86881.69419999998,350.0,280.0,175.0,280.0,1225.0,1225.0,70.0,5296.7425,3980.8089999999997,3822.5950000000003,29.9752,6675.9664999999995,1315.9334999999999,57338.939000000006,210.0,147.0,84.0,42.0,483.0,588.0,63.0,2944.4372999999996,2508.8321999999994,1774.6952999999996,26.4651,2842.3877999999995,435.6051000000001,26620.44420000001,396.0,374.0,88.0,110.0,858.0,924.0,22.0,3604.757200000001,3537.223800000001,1884.6278,25.1822,6761.462400000002,67.53339999999999,43629.15039999999
Márcio Augusto da Silva Barbosa,1,1,0,0,0,1,0,1,0,7.96,0.07,0.0,14,9,5,64.29,0,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,2,2,7,2,0,0,7,7,0.07,-0.11,-0.04,25,2,0,0,4,0,1,3.71,139.55,0.09,-0.0,0.09,5,3,18,1,0,6,8,3,1,4,0,100.0,0.36,32.75,Sota Miura(5),,,,,,,,,,,,,,,,,,,,51,29,8,-0.0741,-0.0085999999999999,-0.0655,320.0,192.0,224.0,320.0,896.0,704.0,128.0,5332.7648,3080.7808,3390.032,34.2611,5261.0432,2251.984,50850.496,240.0,168.0,144.0,216.0,624.0,624.0,72.0,2358.6288,1493.7384,2478.7248,32.9033,3632.9232,864.8904,37180.8696,128.0,96.0,48.0,96.0,400.0,336.0,32.0,1432.0656,1146.4288,1541.816,27.9676,1815.1936,285.6384,24900.328,77.0,22.0,55.0,77.0,242.0,143.0,55.0,1269.3846,529.3332,993.6981999999999,32.9634,1689.2634000000003,740.0502999999999,14905.4752,102.0,51.0,119.0,136.0,306.0,238.0,51.0,1173.2618,692.6428999999999,1221.7559999999999,31.3631,1709.197,480.6189,18326.3519,40.0,30.0,30.0,50.0,100.0,100.0,10.0,400.96,331.16300000000007,577.3969999999999,26.7752,909.527,69.797,4522.942
Min-Tae Kim,1,1,0,0,0,0,1,0,1,,0.07,0.0,41,28,10,68.29,5,0,0,0,0,2,0,0,0,0,0,13,5,0,0,1,0,14,12,29,17,3,2,9,9,0.08,-0.0,0.07,27,0,0,0,0,0,0,1.33,90.22,0.0,-0.0,-0.0,0,0,32,1,0,3,3,2,0,0,0,100.0,0.21,71.95,Kazuki Oiwa(11),,,,,,,,,,,,,,,,,,,,70,0,0,-0.1518,-0.0403972563,-0.1114027436999999,56.0,28.0,56.0,42.0,378.0,308.0,28.0,767.2811999999999,478.04819999999995,1409.1111999999998,27.6605,1820.7139999999995,289.2316,21136.666600000004,30.0,25.0,15.0,20.0,155.0,155.0,5.0,216.7785,165.351,514.533,27.1283,1133.0655,51.4275,7717.996000000001,120.0,96.0,96.0,96.0,864.0,936.0,24.0,1062.0,807.6623999999999,2511.7799999999997,28.2983,5087.5584,254.3376,40565.260800000004,119.0,68.0,34.0,68.0,340.0,255.0,51.0,1802.8126,1130.6156,1484.8004,29.8227,1749.3153,672.1969999999999,22272.0179,85.0,68.0,68.0,85.0,391.0,357.0,17.0,997.9714,772.1995,1213.8119,27.7337,1560.1053,225.7719,18207.1836,172.0,172.0,43.0,86.0,1462.0,946.0,0.0,2051.1043,2051.1043,3046.034,24.708,6683.4126000000015,0.0,70515.7043
Taiyou Hiraoka,1,1,0,0,0,0,1,0,1,29.62,0.04,0.0,12,10,1,83.33,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0,0,6,5,1,1,3,2,0.03,-0.01,0.02,15,7,0,0,0,0,0,9.54,160.77,0.21,-0.0,0.21,1,0,7,0,0,3,1,1,0,1,0,100.0,0.05,56.9,Daiki Sugioka(2),,,,,,,,,,,,,,,,,,,,33,10,3,0.0855,-0.0306999999999999,0.1162,264.0,198.0,66.0,154.0,946.0,682.0,66.0,3528.731800000001,2949.480600000001,2619.7424000000005,28.3407,6402.640199999999,579.2512000000002,39296.122800000005,119.0,105.0,42.0,70.0,308.0,301.0,14.0,1091.0627,996.1790999999998,883.5029,26.8745,2074.1083999999996,94.8836,13252.545599999998,121.0,99.0,110.0,77.0,440.0,374.0,22.0,1565.4738000000002,1113.7852,1276.6358,30.0895,3470.522,451.6875,20617.669599999994,260.0,200.0,180.0,140.0,720.0,600.0,60.0,3242.3239999999996,2382.536,2244.458,29.7269,5849.838,859.7880000000002,33666.868,200.0,140.0,160.0,100.0,560.0,500.0,60.0,1941.9840000000004,1578.0339999999997,1741.758,27.8833,3682.2860000000005,363.95,26126.368000000002,48.0,32.0,24.0,24.0,144.0,128.0,16.0,407.2512,346.0904,443.0976,25.7981,746.2808,61.1608,3854.9504
Akimi Barada,1,1,0,0,0,1,0,0,1,22.91,0.06,0.0,38,18,19,47.37,3,0,0,0,0,4,0,0,0,2,0,9,2,0,0,1,0,9,4,29,11,2,1,6,6,0.13,-0.01,0.12,28,0,0,0,0,0,0,0.92,63.59,0.04,-0.0,0.03,1,0,29,1,0,3,2,0,0,0,0,100.0,0.04,56.8,Yuto Suzuki(8),,,,,,,,,,,,,,,,,,,,64,20,0,0.0074,-0.062206794,0.069606794,228.0,190.0,38.0,114.0,1520.0,1710.0,38.0,3538.1989999999987,2939.4937999999984,4516.501400000001,29.6211,12281.732999999998,598.7052,67747.54000000001,240.0,225.0,30.0,180.0,705.0,525.0,15.0,2306.935500000001,2247.9945,1877.9939999999995,25.3834,5966.802,58.941,28169.9115,429.0,396.0,165.0,297.0,1287.0,1353.0,33.0,4318.092900000001,4040.4341999999997,3969.4677,25.5792,13901.2236,277.662,64106.9253,162.0,108.0,189.0,189.0,756.0,621.0,54.0,2989.5992999999994,2526.6384000000003,2793.8439,28.6242,5707.125,462.96090000000004,41907.66660000001,16.0,16.0,8.0,16.0,136.0,136.0,0.0,116.8016,116.8016,884.46,21.3001,954.0856,0.0,4319.1144,,,,,,,,,,,,,,
Junnosuke Suzuki,1,1,0,0,0,0,1,0,1,31.85,0.02,0.0,17,13,4,76.47,2,0,0,0,0,4,1,0,0,1,1,1,0,0,0,1,1,9,7,7,3,1,1,8,8,0.09,-0.02,0.06,13,0,0,0,0,0,0,2.3,72.04,0.01,-0.02,-0.01,0,0,16,1,0,2,3,2,0,0,0,100.0,0.25,38.05,Yuto Suzuki(5),,,,,,,,,,,,,,,,,,,,34,16,3,-0.0989,-0.0218,-0.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,15.0,30.0,255.0,225.0,0.0,577.785,577.785,1121.1029999999998,23.218,1819.3560000000007,0.0,11323.145999999997,540.0,495.0,225.0,270.0,2475.0,2070.0,45.0,4293.7785,3993.3900000000012,4209.111,26.7127,17790.398999999998,300.3930000000001,97440.88949999996
