Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Yuto Iwasaki,5,5,0,0,2,1,2,3,2,22.21,0.28,0.33,25,19,6,76.0,1,0,0,0,0,2,0,0,0,1,0,2,1,0,0,4,3,3,3,12,9,3,2,6,5,0.02,-0.02,0.01,28,2,2,0,0,1,0,3.32,218.4,0.08,-0.02,0.06,4,2,23,3,0,9,9,1,0,2,0,100.0,0.21,39.6,Yota Maejima(5),,,,,,,,,,,,,,,,,,,,77,39,3,-0.1322041537,-0.0218161099999999,-0.1103880437,304.0,224.0,208.0,176.0,576.0,512.0,80.0,3890.3936,3022.0208,2116.3392,30.6746,5625.8128,868.3728,31745.0976,448.0,288.0,256.0,352.0,1024.0,672.0,160.0,5908.6144,4882.1664,3251.504,28.4487,6524.08,1026.4512,48772.5824,238.0,153.0,102.0,119.0,748.0,646.0,85.0,3806.8797,2615.5332999999996,1900.5082,30.3334,5198.7139,1191.3446999999999,39277.1638,300.0,220.0,180.0,120.0,540.0,480.0,80.0,4055.018,2412.0560000000005,2072.54,31.7255,4683.14,1642.9619999999995,31088.110000000004,627.0,330.0,396.0,396.0,1155.0,1155.0,297.0,9764.115899999999,5363.7110999999995,4108.7607,35.4139,7633.8273,4400.404799999999,61631.4237,624.0,468.0,273.0,312.0,2301.0,1872.0,156.0,8786.7195,6118.6905000000015,4691.0292,33.1079,12848.195099999997,2668.032899999999,96322.43010000004
Ryota Aoki,2,2,0,0,2,0,0,0,2,29.24,0.04,0.02,21,19,2,90.48,2,1,0,0,0,4,2,0,0,2,2,4,3,0,0,0,0,4,3,5,4,2,2,14,13,0.09,-0.04,0.06,20,0,0,0,0,0,0,2.71,90.12,0.0,-0.01,-0.0,1,1,19,2,0,1,8,0,0,0,0,100.0,0.07,33.2,Daiki Suga(5),,,,,,,,,,,,,,,,,,,,43,21,0,-0.0315999999999999,-0.0011,-0.0304999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8371,3.3892,0.0,0.0,1.0104,440.0,240.0,240.0,440.0,1720.0,1240.0,200.0,6082.352,4334.968,4913.436,28.0771,11912.608,1747.384,73701.568,420.0,350.0,210.0,175.0,1505.0,1715.0,70.0,4386.074,3895.0624999999995,3963.3544999999995,26.7777,8151.650500000001,491.01150000000007,81380.845
Seiya Inoue,1,1,0,0,0,1,0,1,0,7.81,0.13,0.0,38,27,11,71.05,4,0,0,0,0,2,0,0,0,1,0,4,2,0,0,3,3,6,4,24,13,3,3,8,8,0.05,-0.01,0.04,25,0,0,0,0,0,0,3.68,93.83,0.01,-0.0,0.01,0,0,35,1,0,8,4,2,1,1,0,100.0,0.4,64.9,Tatsuki Nara(5),,,,,,,,,,,,,,,,,,,,68,13,2,-0.1066,-0.1179985062,0.0113985062,363.0,330.0,198.0,264.0,1089.0,792.0,33.0,4456.7985,3122.1333,3406.5075,28.8008,6311.3193,1334.6652000000001,51097.625700000004,161.0,92.0,23.0,23.0,460.0,437.0,69.0,2730.3529999999987,1812.3148999999999,2098.9984,30.2575,2372.5304999999994,918.0381000000003,31484.959899999998,120.0,84.0,36.0,84.0,444.0,408.0,36.0,1614.0371999999995,1112.3292000000001,1157.9748,29.834,2930.3795999999998,501.70799999999986,23931.4908,128.0,48.0,80.0,64.0,320.0,320.0,80.0,2167.3632,1288.3472,1418.1344,29.5576,2152.9216,879.016,21272.0096,90.0,36.0,0.0,72.0,594.0,396.0,54.0,1687.0985999999998,999.6318000000001,1853.6256,28.1129,2801.889,687.4667999999999,27804.3822,39.0,26.0,39.0,13.0,546.0,663.0,13.0,543.9135,370.0515000000001,1345.2621000000001,28.8779,2908.3313999999996,173.862,27622.715900000003
Itsuki Oda,1,1,0,0,0,1,0,1,0,9.14,0.12,0.0,35,25,10,71.43,6,0,0,0,0,4,1,0,0,0,0,1,1,0,0,6,4,9,7,17,10,0,0,14,13,0.1,-0.03,0.06,19,0,0,0,0,0,0,1.51,41.95,0.01,-0.01,-0.0,1,0,23,1,0,6,5,1,1,1,0,100.0,0.31,44.5,Masaya Tashiro(11),,,,,,,,,,,,,,,,,,,,66,22,2,-0.0441999999999999,-0.0184,-0.0257999999999999,273.0,117.0,195.0,234.0,1404.0,1092.0,156.0,4964.489400000001,3195.4494000000004,4133.8791,29.5161,5375.604000000002,1769.0399999999993,62008.17480000002,168.0,112.0,112.0,56.0,672.0,812.0,56.0,1623.9384000000005,1094.8168,2743.159999999999,30.461,3318.7504000000004,529.1216000000001,41147.4196,78.0,65.0,65.0,78.0,481.0,494.0,13.0,788.2732,673.7236999999999,1237.2984,26.327,2975.5245000000004,114.54949999999998,25570.83619999999,189.0,108.0,54.0,81.0,648.0,567.0,81.0,3100.4397,2120.7177,2638.6857,30.9383,4423.6961999999985,979.7220000000002,39580.29089999999,8.0,8.0,8.0,0.0,8.0,20.0,0.0,72.4072,72.4072,348.0948,23.628,103.8376,0.0,522.142,,,,,,,,,,,,,,
Yota Maejima,1,1,0,0,0,0,1,0,1,29.27,0.02,0.0,47,37,8,78.72,10,0,0,0,0,6,1,0,0,2,1,5,2,0,0,6,4,15,10,27,21,6,4,8,8,0.19,-0.03,0.16,35,2,0,0,4,0,1,2.92,131.47,0.06,-0.01,0.05,0,0,25,0,0,3,3,0,0,0,0,100.0,0.03,54.6,Kazuya Konno(5),,,,,,,,,,,,,,,,,,,,74,17,0,0.2849,-0.1391,0.424,96.0,32.0,48.0,112.0,384.0,304.0,64.0,1753.7664,745.4928,1595.7968,31.9192,2436.0368,1008.2752,23936.9424,231.0,132.0,165.0,66.0,660.0,660.0,99.0,2907.696,1737.0078,2896.1064,29.3362,3859.8351,1170.6882,43441.5795,144.0,108.0,72.0,72.0,486.0,504.0,36.0,1843.5023999999999,1665.1152,1567.5407999999998,27.2015,3335.4558,178.3872,32395.827599999997,198.0,176.0,44.0,110.0,594.0,462.0,22.0,2222.902,2155.0694,1991.319,25.347,3286.613000000001,67.8326,29869.800399999996,348.0,261.0,145.0,174.0,1073.0,899.0,87.0,4248.949500000001,3090.686600000001,3685.1779,29.631,7176.978,1158.2629000000002,55277.68589999999,520.0,440.0,560.0,320.0,1360.0,2240.0,80.0,5321.196,4895.636,4757.8640000000005,27.0023,12516.171999999999,425.556,97694.776
Musashi Suzuki,1,2,0,0,0,1,0,0,1,56.73,0.13,0.0,7,4,3,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,1,1,1,1,0.0,-0.0,-0.0,5,1,0,0,0,0,0,3.02,37.47,0.02,-0.0,0.02,1,0,8,1,0,2,3,2,1,0,1,100.0,0.29,37.5,Supachok Sarachat(2),,,,,,,,,,,,,,,,,,,,27,14,8,-0.2502,0.0247,-0.2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,30.0,60.0,40.0,160.0,170.0,10.0,332.76400000000007,230.996,725.6579999999999,32.1235,987.7970000000001,101.768,7341.245,160.0,96.0,128.0,112.0,512.0,448.0,64.0,2585.8768,1370.7056,1793.4304,30.7207,2677.6848,1215.1712,26901.4608,234.0,182.0,156.0,208.0,1144.0,988.0,52.0,2291.5204000000003,1950.0234,2591.5213999999996,26.5124,5813.106,341.49440000000004,53212.5646
Masato Shigemi,1,1,0,0,0,1,0,1,0,17.25,0.03,0.0,29,23,5,79.31,3,0,0,0,0,1,0,0,0,0,0,1,1,1,1,3,2,8,5,14,9,1,1,10,10,0.05,-0.02,0.03,27,0,0,0,2,0,0,2.53,153.25,0.03,-0.01,0.02,1,1,26,0,0,5,0,0,0,1,0,100.0,0.04,52.65,Tatsuki Nara(5),,,,,,,,,,,,,,,,,,,,60,12,0,-0.0126999999999999,-0.0175971854999999,0.0048971855,209.0,190.0,57.0,38.0,722.0,665.0,19.0,2237.8181,2043.0927999999997,2419.6879999999996,26.381,7525.8449,194.72529999999995,36295.3124,455.0,350.0,280.0,210.0,1365.0,1085.0,105.0,6076.020999999999,4412.1875,3879.7009999999996,30.734,8972.2255,1663.8335,58195.53950000001,150.0,120.0,70.0,110.0,410.0,320.0,30.0,1954.1640000000002,1546.2989999999998,1055.824,31.0494,3632.459,407.86400000000003,21820.37,144.0,96.0,144.0,192.0,672.0,624.0,48.0,2339.3328,1961.1455999999998,2329.5768000000003,31.1327,6686.8056,378.18719999999996,34943.6568,231.0,168.0,84.0,168.0,924.0,735.0,63.0,2764.5996000000014,1971.4589999999996,2714.554500000001,28.6555,7459.178999999998,793.1406,40718.304899999996,126.0,105.0,42.0,126.0,609.0,504.0,21.0,1448.1095999999998,1328.6805000000004,2777.9346,26.2989,5220.148499999998,119.4291,25418.099699999995
Yuya Asano,1,1,0,0,0,1,0,1,0,19.85,0.1,0.0,26,21,5,80.77,4,0,0,0,0,6,1,0,0,2,0,1,0,0,0,0,0,10,9,10,7,5,4,11,10,0.16,-0.04,0.12,15,1,0,0,0,0,0,4.6,79.88,0.03,-0.02,0.01,1,1,14,1,0,0,7,2,1,0,0,100.0,0.06,30.45,Seiya Baba(6),,,,,,,,,,,,,,,,,,,,53,24,3,0.1412,-0.0462,0.1873999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,136.0,102.0,102.0,1020.0,1020.0,34.0,1853.1428,1231.1297999999997,3585.4734000000003,29.4407,6039.9198,622.0163999999999,53782.1078,540.0,432.0,324.0,486.0,2322.0,2430.0,108.0,5689.807199999998,5295.7206000000015,6337.774800000003,25.4842,13996.632600000004,394.08660000000015,130135.65839999999
Supachok Sarachat,1,1,0,0,0,0,1,0,1,19.79,0.03,0.0,51,46,5,90.2,6,3,0,0,0,12,2,0,0,1,0,0,0,1,0,6,6,7,7,22,19,2,1,22,22,0.4,-0.11,0.29,48,5,0,0,1,1,0,4.26,278.44,0.11,-0.02,0.09,1,0,44,1,0,12,6,2,0,0,0,100.0,0.23,41.6,Yuki Kobayashi(7),,,,,,,,,,,,,,,,,,,,108,58,6,0.0643999999999999,-0.027604191,0.0920041909999999,407.0,370.0,185.0,407.0,1295.0,851.0,37.0,5754.861599999999,5173.998600000001,3876.686099999999,27.8069,8047.148499999999,580.8629999999998,58150.273,231.0,189.0,210.0,126.0,378.0,441.0,42.0,2774.797200000001,1839.2009999999996,1820.8281000000006,30.354,3133.313399999999,935.5983000000003,27312.408899999995,270.0,270.0,162.0,135.0,864.0,810.0,0.0,3800.0906999999997,3800.0906999999997,2452.747500000001,24.1995,5899.065300000001,0.0,50690.13209999999,329.0,188.0,94.0,282.0,1034.0,799.0,141.0,5966.701700000001,5004.813799999997,3675.024,29.87,6131.558900000001,961.8925999999997,55125.33650000002,168.0,105.0,105.0,147.0,546.0,357.0,63.0,2405.1867000000007,1761.9482999999998,2085.2727,28.874,2068.4979,643.2384000000001,31279.08419999999,517.0,423.0,188.0,282.0,1880.0,1786.0,94.0,6000.334899999999,4723.786699999998,4909.502500000003,28.503,11261.200000000003,1276.5434999999998,100808.4482
Yuki Kobayashi,1,1,0,0,0,1,0,0,1,40.58,0.02,0.0,52,40,11,76.92,5,1,0,0,0,11,2,0,0,0,0,0,0,5,3,6,5,7,3,19,13,3,3,23,19,0.17,-0.09,0.08,42,2,0,0,0,0,1,2.86,200.12,0.14,-0.04,0.1,1,1,43,1,0,12,17,0,0,0,0,100.0,0.16,38.2,Takuma Arano(8),,,,,,,,,,,,,,,,,,,,112,61,4,0.0555976233,-0.0684926919,0.1240903152,374.0,272.0,272.0,204.0,1020.0,1088.0,102.0,5189.1004,3879.5938,3837.3046,31.0279,8437.9908,1309.5031999999999,57559.5724,280.0,196.0,140.0,112.0,728.0,784.0,84.0,4213.8292,2795.9875999999995,2696.2011999999995,30.2133,4760.520800000001,1417.8415999999995,40443.03760000001,168.0,105.0,63.0,147.0,756.0,651.0,63.0,2340.7187999999996,1802.2536,2007.9632999999994,29.5151,4532.576999999999,538.4652000000001,41497.911,400.0,200.0,300.0,150.0,1550.0,1600.0,200.0,5783.705,3803.115,4866.044999999999,28.3976,6965.8150000000005,1980.595,72990.67999999998,198.0,154.0,110.0,176.0,880.0,660.0,44.0,3000.3577999999993,1991.3608,2616.9264,29.6795,4584.4655999999995,1008.9970000000003,39253.8806,234.0,208.0,156.0,78.0,442.0,598.0,26.0,2193.0142,2005.1252,2796.2792,27.0846,3366.1472,187.88899999999995,27123.909799999998
