Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Mao Hosoya,4,3,0,0,2,1,1,1,3,28.6,1.13,0.41,19,11,7,57.89,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,3,2,7,4,2,1,9,6,0.05,-0.02,0.02,26,1,1,0,3,0,1,3.43,150.51,0.05,0.0,0.05,3,2,21,1,0,7,6,2,1,4,2,100.0,0.36,50.1,Hiroki Sekine(6),,,,,,,,,,,,,,,,,,,,59,30,7,-0.4903860647,0.077691524,-0.5680775887,140.0,60.0,40.0,120.0,620.0,520.0,80.0,2030.4939999999997,1193.548,1978.7780000000005,30.1847,2826.9139999999993,836.9440000000002,29681.676000000003,240.0,168.0,96.0,192.0,624.0,408.0,72.0,3120.9504,1973.3352,2359.4112,31.774,4723.8048,1147.6152000000002,35391.1536,144.0,96.0,64.0,48.0,304.0,384.0,48.0,1659.944,1030.1824,1267.1168,34.1359,2574.3376,629.7616,20949.6608,290.0,87.0,203.0,232.0,551.0,754.0,203.0,5056.9097999999985,2647.6391,3003.2834999999986,32.2365,6683.830099999998,2409.2707000000005,45049.267000000014,30.0,12.0,18.0,24.0,126.0,96.0,18.0,939.138,539.208,464.94780000000003,32.416,481.5438,399.9306,6974.216399999999,261.0,203.0,174.0,290.0,754.0,580.0,58.0,2770.6426000000006,1988.0921000000005,2350.9922999999994,29.829,5134.595000000001,782.5505000000002,47254.96929999998
Matheus Gonçalves Sávio,3,3,1,0,0,0,2,1,2,27.02,0.15,0.17,23,11,10,47.83,4,2,0,0,0,5,3,0,0,2,2,3,3,6,2,1,0,3,3,11,6,4,1,5,2,0.56,-0.01,0.56,28,2,0,1,2,1,1,3.94,238.6,0.07,-0.01,0.05,5,3,23,1,1,6,6,3,2,3,0,100.0,0.21,40.9,Diego Jara Rodrigues(6),,,,,,,,,,,,,,,,,,,,55,27,6,0.1770999999999999,-0.0174,0.1944999999999999,144.0,48.0,48.0,192.0,528.0,192.0,96.0,2979.756,1710.5880000000002,2358.2208,32.8623,2958.5280000000002,1269.168,35373.2952,243.0,162.0,81.0,108.0,810.0,648.0,81.0,3776.1335999999997,2528.8119000000006,2606.3883000000005,33.22,4138.3521,1247.3217000000002,39095.80829999999,144.0,96.0,108.0,108.0,216.0,216.0,48.0,1674.3167999999998,1066.1352,1002.864,32.3759,1854.24,608.1816,16580.686800000003,420.0,210.0,42.0,168.0,1344.0,924.0,210.0,7895.7732,5144.1305999999995,4282.9458,33.9769,8806.3626,2751.6426,64244.1954,84.0,36.0,24.0,72.0,216.0,120.0,48.0,2053.5084,876.9839999999999,1045.0571999999997,35.0349,1573.2635999999998,1176.5243999999998,15675.850800000002,204.0,136.0,102.0,119.0,493.0,408.0,68.0,2214.1905,1386.3823,1431.5904,32.4611,2992.1139,827.8082,31757.4365
Toichi Suzuki,2,1,0,0,1,0,1,1,1,19.32,0.09,0.07,32,21,11,65.62,4,1,0,0,0,2,1,0,0,0,0,0,0,2,1,2,2,17,12,21,11,1,1,8,7,0.15,-0.02,0.13,17,1,0,0,1,0,1,3.58,124.6,0.03,-0.0,0.03,1,0,14,0,0,3,4,1,1,1,1,100.0,0.2,46.7,Shogo Asada(4),,,,,,,,,,,,,,,,,,,,46,11,0,0.1525,0.1265,0.0259999999999999,84.0,48.0,48.0,48.0,360.0,372.0,36.0,1293.6816000000001,619.0368000000001,1177.5492,28.8626,1906.1796000000004,674.6448,17663.2344,156.0,117.0,39.0,39.0,429.0,390.0,39.0,2792.2907999999998,1747.0336000000007,1434.9231,33.2065,3074.314100000001,1045.2572,21523.853000000003,216.0,126.0,72.0,108.0,594.0,666.0,90.0,2617.2000000000003,1658.4084,1764.4301999999998,33.1633,4654.1556,958.7916,29171.919599999997,204.0,153.0,136.0,102.0,391.0,425.0,51.0,2832.3632,1330.5662000000002,1828.4129,35.6888,4069.6758999999997,1501.7969999999998,27426.2003,156.0,130.0,78.0,78.0,650.0,572.0,26.0,3447.9042,1922.0604,2092.7295999999997,31.9545,3792.1728000000003,1525.8438,31390.928400000004,128.0,128.0,48.0,64.0,192.0,144.0,0.0,1069.7888,1069.7888,1515.8464,24.1842,1884.7488,0.0,10408.8144
Hisashi Appiah Tawiah,2,2,0,0,1,0,1,2,0,16.16,0.07,0.06,33,19,13,57.58,1,1,0,0,0,1,0,0,0,0,0,5,2,1,1,0,0,13,9,24,11,4,3,4,4,0.04,-0.04,0.0,17,3,0,0,1,0,0,6.04,145.92,0.02,-0.0,0.01,2,1,21,1,0,1,1,1,0,4,0,100.0,0.1,65.8,Daiki Kaneko(8),,,,,,,,,,,,,,,,,,,,54,6,4,-0.1271,0.0368,-0.1639,112.0,96.0,64.0,80.0,368.0,336.0,16.0,1134.4704,854.3376,1453.1504,33.1771,1897.576,280.1344,21797.2576,115.0,69.0,69.0,92.0,483.0,598.0,46.0,1669.9195999999997,1157.7142000000001,1957.0630999999998,30.1278,3241.725799999999,512.2053999999998,29355.93500000001,175.0,100.0,150.0,100.0,375.0,500.0,75.0,1917.4074999999998,1292.53,1704.1975,32.3466,2226.5625,624.8774999999999,28176.052499999998,180.0,126.0,54.0,18.0,414.0,594.0,54.0,2436.0407999999998,1675.2978000000003,1662.7391999999998,31.1494,3544.0056,760.743,24941.089799999998,70.0,60.0,50.0,40.0,180.0,180.0,10.0,710.2639999999999,544.939,765.5830000000001,27.7469,1012.497,165.32399999999998,11483.747000000001,56.0,28.0,56.0,42.0,336.0,266.0,28.0,694.5204000000001,626.9018,1021.0466000000002,26.1016,2168.3732000000005,67.61860000000001,22650.221999999998
Yuto Anzai,2,2,1,0,0,1,0,1,1,18.19,0.32,0.94,2,1,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0.0,-0.0,-0.0,3,0,0,0,0,0,0,5.6,17.66,0.0,0.0,0.0,0,0,4,1,0,1,3,0,0,0,0,100.0,0.03,16.75,Shogo Asada(2),,,,,,,,,,,,,,,,,,,,7,5,0,0.2037999999999999,0.0024,0.2013999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,34.0,51.0,68.0,255.0,289.0,34.0,956.0154,467.7805,1602.2126,33.4315,1238.6591,488.2349,12737.5951
Shinnosuke Fukuda,2,2,0,0,1,1,0,1,1,54.03,0.02,0.0,39,13,21,33.33,2,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,22,9,27,7,5,1,6,5,0.02,-0.02,0.0,20,2,0,0,0,0,0,3.32,93.46,0.02,-0.01,0.01,2,1,19,0,0,5,7,1,0,1,0,100.0,0.15,48.1,Hisashi Appiah Tawiah(4),,,,,,,,,,,,,,,,,,,,60,19,1,0.0017999999999999,-0.0373999999999999,0.0391999999999999,154.0,110.0,88.0,132.0,528.0,594.0,44.0,3196.0631999999996,2128.324,2140.2788,31.9024,3160.553000000001,1067.7392,32104.186400000006,160.0,128.0,32.0,128.0,800.0,928.0,32.0,2119.0752,1401.9424,3127.6352,28.8242,4044.7584,717.1328,46914.544,88.0,55.0,55.0,88.0,187.0,253.0,33.0,1568.6748,985.7572999999999,886.7782000000002,32.21,1429.0023,582.9174999999999,14661.4017,390.0,210.0,180.0,90.0,930.0,1110.0,180.0,5098.280999999998,4155.462000000001,3368.2589999999987,30.4385,7753.653000000001,942.8189999999996,50523.879,54.0,27.0,54.0,27.0,198.0,225.0,27.0,952.8417000000001,680.5413000000001,739.6083000000001,28.6186,931.4433,272.3013,11094.1299,221.0,153.0,119.0,85.0,306.0,340.0,68.0,2759.1442,1809.3899000000001,1448.2487,31.2745,2952.9187,949.7543,20589.2661
Eiji Shirai,1,1,0,0,0,1,0,0,1,27.08,0.02,0.0,22,18,3,81.82,2,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,9,5,13,9,2,2,7,7,0.06,-0.02,0.04,16,0,0,0,0,0,1,2.63,79.16,0.02,-0.01,0.02,1,1,17,1,0,3,4,0,0,0,0,100.0,0.03,65.9,Tomoki Takamine(3),,,,,,,,,,,,,,,,,,,,37,10,1,0.0916,0.1564069104,-0.0648069104,170.0,153.0,0.0,51.0,612.0,442.0,17.0,1540.3343,1452.786,1636.8807,26.147,5110.103099999999,87.5483,24553.210499999997,264.0,168.0,96.0,144.0,720.0,552.0,96.0,4100.7288,3203.6495999999997,2637.5688,28.9817,7048.4712,897.0792000000001,39563.532,56.0,49.0,35.0,42.0,210.0,210.0,7.0,665.8876,656.1352,641.8607999999999,25.0896,2024.0171000000005,9.7524,10612.0973,308.0,308.0,56.0,168.0,1008.0,784.0,0.0,2335.4239999999995,2256.7495999999996,3148.983599999999,25.425,9075.343199999998,78.67439999999999,47234.7652,50.0,30.0,10.0,20.0,100.0,70.0,20.0,1162.539,549.6650000000001,815.7539999999999,30.449,763.129,612.875,4636.199,,,,,,,,,,,,,,
Tomoki Takamine,1,1,0,0,0,0,1,0,1,,0.02,0.0,37,22,13,59.46,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,2,1,10,6,19,5,1,1,15,15,0.02,-0.03,-0.01,24,0,0,0,0,0,0,1.69,47.94,0.02,-0.0,0.01,0,0,25,0,0,2,1,0,0,0,0,100.0,0.05,66.8,Diego Jara Rodrigues(6),,,,,,,,,,,,,,,,,,,,65,12,1,-0.0232999999999999,-0.1427999999999999,0.1194999999999999,28.0,28.0,42.0,42.0,392.0,364.0,0.0,202.78580000000002,202.78580000000002,1245.7662000000003,22.8947,2103.6792,0.0,18686.4916,168.0,140.0,112.0,112.0,1008.0,868.0,28.0,2346.0332000000003,1853.0988000000002,2642.7324,29.0126,4547.919599999999,492.93719999999996,39640.972000000016,136.0,136.0,68.0,136.0,578.0,493.0,0.0,951.1176999999999,892.0665,1377.8755,26.9348,2591.6517,59.051199999999994,22780.8789,245.0,175.0,140.0,70.0,1190.0,910.0,70.0,3200.3160000000007,2584.3159999999993,3705.9539999999997,28.2863,8896.482,616.0000000000001,55589.324,147.0,105.0,63.0,105.0,483.0,441.0,42.0,2782.2395999999994,1135.596,1797.5895000000003,30.969,4258.002,1646.6435999999997,26963.857200000002,130.0,91.0,52.0,52.0,325.0,338.0,39.0,1631.1217000000001,1201.5249999999999,967.1623000000001,29.5735,2158.8437000000004,429.5967000000001,21454.885400000006
Taichi Hara,1,1,0,0,1,0,0,1,0,9.29,0.17,0.37,18,9,8,50.0,1,1,0,0,0,4,0,0,0,2,1,1,1,0,0,3,2,8,4,12,4,1,1,3,3,0.03,-0.0,0.02,17,1,0,0,0,0,0,2.62,92.0,0.02,-0.0,0.02,1,0,16,1,0,4,6,1,1,2,0,100.0,0.32,34.6,Sung-Yun Gu(4),,,,,,,,,,,,,,,,,,,,48,25,1,0.2299,-0.0464,0.2763,96.0,48.0,48.0,48.0,464.0,368.0,48.0,1308.4448,914.3952,1486.7456,28.8049,2781.9216,394.0512,22301.1744,126.0,112.0,84.0,14.0,308.0,252.0,14.0,1428.0644,1351.987,1366.1213999999998,26.1451,2298.9735999999994,76.0774,20491.823800000002,187.0,119.0,85.0,119.0,493.0,391.0,68.0,2260.1534,1456.0448999999999,1551.6273999999999,31.4122,3117.8323,804.1085,25653.5848,104.0,72.0,24.0,24.0,184.0,192.0,32.0,1116.64,838.096,795.3168,28.7431,1901.58,278.5448,11929.7472,72.0,36.0,54.0,27.0,153.0,135.0,36.0,1500.9264,761.5179,801.6201,32.0324,1530.0648,739.4085,12024.3078,150.0,100.0,125.0,150.0,750.0,725.0,50.0,2037.495,1250.7425,1845.4825,31.3926,3603.3900000000003,786.7549999999999,40938.95
Diego Jara Rodrigues,1,1,0,0,0,1,0,1,0,7.92,0.1,0.0,41,26,13,63.41,6,0,0,0,0,4,0,0,0,0,0,3,1,0,0,2,1,20,10,28,15,5,5,7,6,0.09,-0.01,0.08,18,1,0,0,0,0,0,3.07,98.07,0.02,-0.0,0.02,1,1,15,0,0,0,2,0,0,1,0,100.0,0.02,63.5,Tomoki Takamine(6),,,,,,,,,,,,,,,,,,,,59,7,1,0.0015999999999999,0.0101,-0.0085,198.0,154.0,132.0,88.0,616.0,594.0,44.0,2661.196999999999,2074.3052,1930.1435999999999,31.5941,3152.204000000001,586.8918000000001,28952.15400000001,270.0,189.0,162.0,189.0,459.0,378.0,81.0,3811.7844000000005,1978.1874,2537.0307000000003,30.1253,2731.5089999999996,1833.5997000000002,38055.441600000006,80.0,64.0,48.0,80.0,336.0,224.0,16.0,737.3808,560.6112,1137.1584,27.6353,1260.4928,176.7696,18801.0176,264.0,168.0,96.0,120.0,792.0,504.0,96.0,3676.3608000000004,2266.56,2468.3928,30.5048,5286.1608,1409.8008,37025.904,72.0,48.0,72.0,96.0,288.0,192.0,24.0,1155.138,584.7023999999999,1088.994,30.673,1399.9715999999996,570.4355999999999,16334.917199999998,63.0,63.0,27.0,36.0,225.0,252.0,0.0,612.8774999999999,612.8774999999999,660.2535,24.7656,1093.4109,0.0,14646.6279
