Team_Name,Possession,Field Tilt,Passes (Acc.),LongBalls (Acc.),Tackles (Wins),Interceptions,Clearance,Aerials (Wins),PPDA,Pass/Sequence,10+ Pass Seq.,Total_Box_Entries,Box_Entry_From_Left,Box_Entry_From_Center,Box_Entry_From_Right,Total_Cross,Successful_Cross,Unsuccessful_Cross,Cross_From_LeftWing,Cross_From_RightWing,Goals_Scored,xG,xGOT,Total_Shots,Shots_On_Target,BigChances,BigChances_Missed,xG_per_Shot,Average_Shot_Distance,Shots_Saved,Big_Chance_Saved,Goals_Prevented,Total_High_Turnovers,Shot_Ending_High_Turnovers,Goal_Ending_High_Turnovers,Opponent_Team_Name,Total_xT,Total_Final_Third_Entries,Final_Third_Entries_From_Left,Final_Third_Entries_From_Center,Final_Third_Entries_From_Right,Entry_By_Pass,Entry_By_Carry,Total_Chances_Created,Total_Passes_Into_Zone14,Passes_Into_Halfspaces,Passes_Into_Left_Halfspaces,Passes_Into_Right_Halfspaces,Defense_Line_Height,Vericality_%,Most_pass_combination_from,Most_pass_combination_to,Most_passes_in_combination,Total_Progressive_Passes,Progressive_Passes_From_Left,Progressive_Passes_From_Center,Progressive_Passes_From_Right,Total_Progressive_Carries,Progressive_Carries_From_Left,Progressive_Carries_From_Center,Progressive_Carries_From_Right
Cerezo Osaka,59.17,73.15,497 (370),58 (31),26 (22),2,26,18 (18),4.26,497.0,1,11,8,2,1,11,4,7,10,1,2,1.72,1.63,16,5,3,2,0.11,18.4,3,0,-1.37,17,4,1,Tokyo,3.435542199999994,27,9,12,6,17,10,6,5,35,21,14,34.78,57.46,Lucas Fernandes,Seiya Maikuma,27,49,23,6,20,26,14,6,6
Tokyo,40.83,26.85,343 (236),37 (19),14 (12),7,32,26 (26),4.75,343.0,1,8,4,1,3,7,1,6,4,3,2,1.11,1.94,7,2,2,0,0.16,25.75,0,0,-2.06,4,1,1,Cerezo Osaka,1.2997953899999946,24,9,7,8,20,4,4,5,16,11,5,35.15,64.32,Yuto Nagatomo,Teruhito Nakagawa,14,36,9,5,22,23,7,1,15
