Team_Name,Possession,Field Tilt,Passes (Acc.),LongBalls (Acc.),Tackles (Wins),Interceptions,Clearance,Aerials (Wins),PPDA,Pass/Sequence,10+ Pass Seq.,Total_Box_Entries,Box_Entry_From_Left,Box_Entry_From_Center,Box_Entry_From_Right,Total_Cross,Successful_Cross,Unsuccessful_Cross,Cross_From_LeftWing,Cross_From_RightWing,Goals_Scored,xG,xGOT,Total_Shots,Shots_On_Target,BigChances,BigChances_Missed,xG_per_Shot,Average_Shot_Distance,Shots_Saved,Big_Chance_Saved,Goals_Prevented,Total_High_Turnovers,Shot_Ending_High_Turnovers,Goal_Ending_High_Turnovers,Opponent_Team_Name,Total_xT,Total_Final_Third_Entries,Final_Third_Entries_From_Left,Final_Third_Entries_From_Center,Final_Third_Entries_From_Right,Entry_By_Pass,Entry_By_Carry,Total_Chances_Created,Total_Passes_Into_Zone14,Passes_Into_Halfspaces,Passes_Into_Left_Halfspaces,Passes_Into_Right_Halfspaces,Defense_Line_Height,Vericality_%,Most_pass_combination_from,Most_pass_combination_to,Most_passes_in_combination,Total_Progressive_Passes,Progressive_Passes_From_Left,Progressive_Passes_From_Center,Progressive_Passes_From_Right,Total_Progressive_Carries,Progressive_Carries_From_Left,Progressive_Carries_From_Center,Progressive_Carries_From_Right
Sagan Tosu,35.81,41.04,400 (302),27 (6),14 (9),3,32,8 (8),16.29,400.0,1,17,7,3,7,7,3,4,1,6,1,1.21,1.11,12,4,2,2,0.1,25.89,3,0,0.11,9,2,1,Albirex Niigata,1.535128759999996,22,4,7,11,15,7,5,8,39,16,23,35.1,52.87,Il-Gyu Park,Tae-Hyeon Kim,28,28,11,4,13,16,4,2,10
Albirex Niigata,64.19,58.96,717 (630),53 (29),8 (8),5,27,19 (19),8.27,717.0,1,36,20,7,9,12,3,9,7,5,2,2.99,3.51,19,8,3,2,0.16,19.25,8,2,0.51,12,5,0,Sagan Tosu,2.4357107099999915,45,26,6,13,34,11,9,8,41,28,13,41.15,48.27,Hiroki Akiyama,Michael James Fitzgerald,56,63,32,6,25,41,21,7,13
