Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Koya Yuruki,4,4,1,0,0,1,2,3,1,15.66,0.28,0.34,43,28,15,65.12,7,2,0,0,0,5,2,0,0,7,2,5,0,1,1,0,0,8,6,16,8,4,0,22,19,0.28,-0.17,0.11,38,6,0,0,1,1,0,4.84,321.89,0.11,-0.03,0.08,1,0,37,3,0,13,12,5,2,4,0,100.0,0.56,38.4,Ryo Hatsuse(14),,,,,,,,,,,,,,,,,,,,92,51,10,0.1527,-0.0062953379,0.1589953379,546.0,420.0,210.0,168.0,1302.0,924.0,126.0,6969.383400000001,5600.473200000001,5269.6602,28.6561,12239.816399999998,1368.9102,79044.91560000001,98.0,70.0,42.0,28.0,266.0,266.0,28.0,1101.8937999999998,962.3208000000002,1368.2956000000001,28.2422,2266.187,139.573,20524.428399999997,696.0,522.0,290.0,464.0,1682.0,1218.0,174.0,8978.1506,5907.5610000000015,6503.0934,30.9048,15190.136200000004,3070.5896000000002,112937.02580000002,351.0,135.0,135.0,216.0,1026.0,702.0,216.0,5398.469099999999,3022.9118999999996,3154.4910000000004,30.3106,7118.099100000002,2375.5571999999997,47317.36229999999,88.0,44.0,44.0,88.0,352.0,220.0,44.0,2539.3455999999996,1618.3199999999997,2517.9505999999997,31.4878,2932.9410000000007,921.0256000000004,23249.085200000005,,,,,,,,,,,,,,
Daiju Sasaki,3,3,1,0,2,0,0,2,1,24.26,0.65,0.39,37,23,14,62.16,5,0,0,0,0,6,2,0,0,2,1,0,0,2,0,2,1,11,6,17,8,1,1,15,13,0.14,-0.11,0.03,31,3,0,1,1,0,1,3.67,210.57,0.14,-0.04,0.1,1,0,37,2,1,17,16,5,2,2,0,100.0,0.56,32.9,Gotoku Sakai(10),,,,,,,,,,,,,,,,,,,,105,66,16,-0.0429,-0.0070075445999999,-0.0358924554,429.0,231.0,231.0,297.0,1056.0,891.0,198.0,7376.5857000000005,4119.6111,3906.0879,33.0004,8172.1893,3256.9746,58591.295399999995,470.0,329.0,235.0,423.0,1363.0,1081.0,141.0,8815.498599999999,6311.587699999999,5059.361999999998,29.8402,8685.6564,2503.9109,75890.45349999997,486.0,270.0,162.0,432.0,783.0,567.0,216.0,7652.574900000001,4702.941,2946.1455000000005,28.8246,6586.9308,2949.6339,51164.748900000006,450.0,300.0,180.0,240.0,990.0,690.0,150.0,8336.832,5556.381,3371.5589999999993,30.761,7586.829,2780.451000000001,50573.37599999998,264.0,176.0,154.0,132.0,528.0,572.0,88.0,5173.812600000002,4199.987,2311.3794,28.0514,4052.309800000001,973.8256000000002,34670.6756,198.0,132.0,99.0,198.0,1320.0,1023.0,66.0,2662.011,1882.0428,3637.5867,26.9993,8738.875199999999,779.9682,60020.1954
Ryo Hatsuse,2,2,0,0,1,1,0,0,2,30.46,0.06,0.01,101,60,37,59.41,23,2,0,0,0,16,4,0,0,7,2,14,7,14,4,1,1,34,19,69,39,2,2,20,18,0.66,-0.05,0.61,63,4,0,0,0,0,1,3.33,349.38,0.15,-0.02,0.13,0,0,62,2,0,2,9,0,0,2,0,100.0,0.05,62.1,Koya Yuruki(17),,,,,,,,,,,,,,,,,,,,163,52,1,0.5152996703,-0.0075043279,0.5228039982,714.0,561.0,51.0,51.0,1938.0,1683.0,153.0,7826.572199999999,6434.996400000002,6473.271900000002,26.773,14572.541100000002,1391.5809000000004,97099.04790000002,186.0,186.0,93.0,93.0,806.0,682.0,0.0,1946.6419000000008,1946.6419000000008,2963.073000000001,24.7145,4085.4527999999987,0.0,44446.10119999998,256.0,128.0,64.0,128.0,2496.0,2048.0,128.0,3672.601600000001,2812.8704,6870.2016,26.1517,7362.944000000001,859.7248,119312.47360000001,344.0,258.0,215.0,172.0,1419.0,1333.0,86.0,5074.4644,3872.8251000000005,4259.5284,30.7778,8654.4466,1201.6392999999998,63892.95610000001,308.0,220.0,132.0,264.0,1320.0,1012.0,88.0,4362.9432,3266.115599999999,4337.6388,30.8047,9412.814400000005,1096.8275999999998,65064.56440000001,297.0,132.0,66.0,330.0,1353.0,1122.0,165.0,4682.5152,3337.1679,3493.8684,27.4603,9571.6203,1345.3473,74419.3857
Ryo Germain,2,2,0,1,0,1,0,0,2,65.86,0.07,0.0,21,17,4,80.95,2,1,0,0,0,4,1,0,0,1,1,1,1,0,0,3,2,2,2,7,5,3,3,9,8,0.22,-0.01,0.21,28,2,0,0,1,0,0,1.95,120.69,0.03,-0.02,0.01,0,0,23,1,0,4,3,0,0,3,0,100.0,0.08,57.8,Hiroto Uemura(3),,,,,,,,,,,,,,,,,,,,73,26,4,-0.083,0.047,-0.13,207.0,92.0,92.0,161.0,529.0,460.0,115.0,4291.931100000001,2727.406699999999,2568.663,30.5397,3061.5621999999985,1564.5266999999997,38529.95420000001,92.0,69.0,92.0,69.0,552.0,483.0,23.0,1423.1295999999998,959.4610999999998,2217.4046999999996,30.5735,3582.4363000000003,463.6684999999999,33261.08199999999,175.0,175.0,50.0,100.0,925.0,750.0,0.0,1433.645,1329.5700000000002,2612.3650000000002,27.6956,4285.57,104.075,45368.08500000001,192.0,128.0,112.0,128.0,544.0,528.0,64.0,2883.0624,2009.9616,1773.7792,29.9821,3764.7296,873.1008,26606.6992,162.0,135.0,81.0,27.0,810.0,675.0,27.0,2622.2427000000002,1988.6823,2740.9428000000003,27.6784,5406.574499999999,633.5604,41114.15280000001,250.0,175.0,25.0,250.0,1350.0,1000.0,75.0,2727.7000000000003,2105.5225,2706.5775,27.2922,9325.0975,622.1775,57650.1225
Ko Matsubara,1,1,0,0,0,0,1,0,1,36.41,0.02,0.0,48,27,19,56.25,2,0,0,0,0,3,0,0,0,2,0,2,0,3,1,3,2,17,9,24,9,2,1,17,15,0.04,-0.03,0.01,28,0,0,0,0,0,0,4.13,147.45,0.07,-0.02,0.05,0,0,33,0,0,5,10,0,1,6,0,100.0,0.11,57.3,Ricardo Queiroz de Alencastro Graça(6),,,,,,,,,,,,,,,,,,,,77,21,0,-0.0167,-0.051004868,0.0343048679999999,160.0,80.0,48.0,48.0,416.0,464.0,80.0,3468.672,2091.368,1779.7856,30.8609,4085.4192,1377.3024,26696.7808,256.0,192.0,128.0,160.0,896.0,1056.0,64.0,2698.992,2127.7856,3226.88,28.8575,4745.2544,571.2064,48403.1872,168.0,96.0,72.0,48.0,456.0,420.0,72.0,2704.9955999999997,1767.8880000000004,1421.502,29.2462,3465.3348,937.1076,24686.754000000004,286.0,182.0,182.0,208.0,754.0,650.0,104.0,4794.6704,3864.6217999999994,2977.7098000000005,28.8338,8151.8632,930.0486000000001,44665.6574,231.0,168.0,105.0,105.0,504.0,462.0,63.0,3254.6745,2539.1855999999993,2055.3939,28.4317,4866.8445,715.4889000000003,30830.912699999997,480.0,360.0,160.0,280.0,2000.0,1520.0,120.0,5912.380000000001,5073.248,5035.844,26.1662,15628.204000000002,839.128,107263.476
Gotoku Sakai,1,1,0,0,0,0,1,1,0,8.67,0.07,0.0,63,48,11,76.19,15,2,0,0,0,8,3,0,0,6,2,3,1,3,3,1,0,25,18,40,28,2,2,18,16,0.59,-0.06,0.54,37,1,0,0,2,0,0,2.28,170.21,0.02,-0.04,-0.01,1,1,33,0,0,4,7,1,1,3,0,100.0,0.1,43.1,Daiju Sasaki(9),,,,,,,,,,,,,,,,,,,,100,37,1,0.4963073202,-0.0344915967,0.5307989169,216.0,135.0,108.0,54.0,810.0,864.0,81.0,4242.5586,2464.9353,3142.2546000000007,29.2735,6850.855799999998,1777.6233000000002,47133.80820000001,392.0,280.0,224.0,336.0,1960.0,1960.0,112.0,6911.1504,6147.9992,6332.043199999999,25.951,11220.5968,763.1512000000001,94980.65920000002,374.0,272.0,170.0,170.0,1054.0,1258.0,102.0,3589.4854,2935.5226000000002,3678.1302,26.3117,8736.769199999999,653.9628,63876.8472,378.0,297.0,81.0,162.0,1107.0,783.0,81.0,5213.710800000001,4627.802699999999,2994.5213999999996,27.1933,8471.1501,585.9080999999999,44917.834500000004,184.0,138.0,46.0,23.0,598.0,621.0,46.0,3053.4179000000013,2353.0633000000003,2192.1920999999998,27.6912,2933.3234000000007,700.3546,32882.8746,380.0,320.0,120.0,160.0,700.0,700.0,60.0,3363.675999999999,2792.848000000001,2124.8819999999996,29.7474,6355.486,570.8279999999999,45259.99599999999
Takahiro Ohgihara,1,1,0,0,0,0,1,0,1,26.26,0.03,0.0,36,31,5,86.11,2,0,0,0,0,1,0,0,0,2,0,1,1,0,0,3,1,6,4,16,13,3,3,14,14,0.03,-0.04,-0.01,24,0,0,0,0,0,0,2.06,73.39,0.0,-0.01,-0.01,0,0,25,0,0,2,1,0,0,0,0,100.0,0.03,52.7,Ryo Hatsuse(5),,,,,,,,,,,,,,,,,,,,62,11,0,-0.0342,-0.1148048671,0.0806048671,72.0,54.0,18.0,54.0,666.0,558.0,18.0,1419.9066000000003,895.0086000000001,2241.576,30.0725,6275.9232,524.898,33623.6382,144.0,126.0,36.0,108.0,576.0,378.0,18.0,1747.9206000000001,1308.8357999999998,1952.9261999999999,25.8438,3673.7136000000005,439.08660000000003,29293.8984,132.0,132.0,220.0,132.0,1848.0,1276.0,0.0,2126.08,2126.08,4669.997200000001,24.0803,8916.181999999999,0.0,81102.30480000003,198.0,198.0,18.0,144.0,756.0,504.0,0.0,1980.3870000000002,1914.0804,1974.9708000000003,25.7935,5988.4794,66.3066,29624.5548,104.0,65.0,52.0,52.0,377.0,338.0,39.0,1389.9977000000001,1013.6854000000003,1321.7164999999998,30.2691,2502.7275,376.3122999999999,19825.7501,52.0,39.0,0.0,13.0,221.0,143.0,13.0,657.5179,576.7216,1756.5548,25.66,1365.13,80.7976,7436.079299999998
Rikiya Uehara,1,1,0,0,1,0,0,0,1,21.66,0.06,0.01,67,48,15,71.64,5,0,0,0,0,4,0,0,0,0,0,8,4,2,1,7,5,21,13,37,21,4,4,19,19,0.11,-0.03,0.08,41,1,0,0,0,0,0,2.6,149.97,0.04,-0.01,0.03,0,0,41,1,0,1,4,1,0,0,0,100.0,0.03,57.9,Hiroto Uemura(8),,,,,,,,,,,,,,,,,,,,113,16,1,-0.0513907576,-0.1866979753,0.1353072177,162.0,126.0,72.0,54.0,828.0,774.0,36.0,3839.2722,3066.1686000000004,2406.3336,27.4735,9191.6856,773.1053999999999,36094.994999999995,217.0,186.0,62.0,62.0,1271.0,992.0,31.0,2945.4123000000004,2786.5466000000015,3617.951099999999,25.9273,10256.594899999993,158.86569999999992,54269.266500000005,250.0,200.0,0.0,75.0,1225.0,900.0,50.0,3476.0649999999996,3180.8675000000003,3118.05,27.184,10389.835,295.1975,54150.125,364.0,364.0,84.0,112.0,1288.0,1204.0,0.0,4548.1435999999985,4548.1435999999985,3429.678,24.7804,13351.310000000001,0.0,51445.16439999999,351.0,312.0,234.0,117.0,1599.0,1326.0,39.0,5109.549900000003,4255.4031,4154.584199999999,26.5262,12189.808799999997,854.1468000000001,62318.74739999998,561.0,510.0,153.0,204.0,2601.0,2703.0,51.0,5788.127699999999,5369.983800000002,6263.284500000001,27.1231,27575.807099999995,418.1439,133407.9369
Shun Nakamura,1,1,0,0,0,0,1,1,0,11.01,0.02,0.0,32,24,8,75.0,3,0,0,0,0,3,0,0,0,1,0,3,1,0,0,0,0,11,8,16,9,2,2,14,13,0.04,-0.02,0.02,25,2,0,0,1,1,0,2.24,128.77,0.03,-0.0,0.03,0,0,27,0,0,0,1,0,0,0,0,100.0,0.03,70.9,Ko Matsubara(5),,,,,,,,,,,,,,,,,,,,59,7,0,-0.0104,-0.0416,0.0312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,410.0,287.0,205.0,1558.0,1517.0,41.0,5213.0434000000005,4321.5968,4661.6631,28.0315,13846.1264,891.4466,60601.6285,928.0,754.0,232.0,464.0,3248.0,2784.0,174.0,8944.759999999998,8045.760000000001,7079.323399999999,28.5626,33461.0584,898.9942,150789.53679999994
Ricardo Queiroz de Alencastro Graça,1,1,0,0,1,0,0,1,0,16.05,0.02,0.07,36,24,9,66.67,2,0,0,0,0,1,0,0,0,0,0,9,2,0,0,2,1,6,3,24,13,0,0,10,10,0.04,-0.01,0.03,27,0,1,0,0,0,0,2.42,112.85,0.01,-0.01,0.0,0,0,30,0,0,3,1,0,0,1,0,100.0,0.03,80.75,Ko Matsubara(6),,,,,,,,,,,,,,,,,,,,65,1,1,0.0788994682,-0.2079,0.2867994682,132.0,120.0,60.0,48.0,336.0,384.0,12.0,1596.2315999999996,1301.8368,1462.2396,28.8459,2882.6807999999996,294.3960000000001,21933.5892,136.0,102.0,68.0,136.0,918.0,952.0,34.0,1512.3744000000002,1200.9208,3628.8812000000003,28.3682,3564.1826,311.4502,54433.23160000001,65.0,26.0,52.0,91.0,377.0,338.0,39.0,1693.6803000000004,1083.3082000000002,1357.0673999999997,29.3123,1677.1014000000005,610.3720999999999,23567.726000000002,228.0,209.0,114.0,76.0,532.0,437.0,19.0,2761.1807,2191.2187,2022.2878000000003,28.0675,4694.105800000001,569.9620000000001,30334.322700000004,64.0,64.0,64.0,48.0,416.0,448.0,0.0,605.9616,605.9616,1344.92,24.413,2194.7488,0.0,20173.7952,360.0,270.0,120.0,330.0,1200.0,630.0,90.0,4048.4700000000007,3333.912,3360.042000000001,27.2062,6748.710000000002,714.5579999999997,71568.909
