Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Fuki Yamada,4,3,1,0,1,0,2,2,2,18.52,0.21,0.26,21,14,6,66.67,5,1,0,0,0,4,2,0,0,1,0,2,1,2,1,2,0,2,2,12,8,0,0,5,5,0.27,-0.02,0.25,17,6,0,0,0,1,1,6.28,181.22,0.16,-0.01,0.15,0,0,16,2,0,3,3,1,1,2,0,100.0,0.03,49.6,Koki Morita(4),,,,,,,,,,,,,,,,,,,,48,17,1,0.1722999999999999,0.0061999999999999,0.1660999999999999,280.0,240.0,80.0,140.0,640.0,620.0,40.0,3786.57,3000.634,2000.7859999999996,26.8715,5394.367999999999,785.9380000000002,30011.777999999995,130.0,78.0,104.0,78.0,572.0,598.0,52.0,2369.2279000000003,1206.3129000000001,1711.8477999999996,32.2964,3937.8287000000005,1162.915,25677.7222,456.0,361.0,114.0,228.0,1007.0,950.0,95.0,6426.945699999999,4889.771599999999,2415.3788,30.7736,7289.4088999999985,1537.1741,46173.97670000001,480.0,384.0,320.0,192.0,1408.0,1344.0,96.0,7680.6112,6616.9376,4607.4464,26.7797,14126.1792,1063.6736,68958.0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson José Lopes de Souza,4,3,1,0,1,1,1,0,4,58.79,0.88,0.89,11,7,4,63.64,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,1,5,4,0.01,-0.02,-0.01,11,2,0,0,0,0,1,2.43,87.46,0.07,-0.01,0.07,0,0,7,1,0,4,1,1,0,1,0,100.0,0.05,34.0,Carlos Eduardo Bendini Giusti(1),,,,,,,,,,,,,,,,,,,,75,46,18,0.0352,0.0163141486,0.0188858514,60.0,36.0,24.0,24.0,300.0,216.0,24.0,844.7112000000001,467.78760000000005,1050.1055999999999,27.5062,1722.324,376.9236,15751.591200000003,260.0,130.0,130.0,156.0,598.0,598.0,130.0,5923.0495999999985,4016.4982000000005,3142.0063999999998,31.1892,4269.5172,1906.5514,47130.0778,280.0,180.0,160.0,40.0,720.0,680.0,100.0,4205.948,3549.3360000000007,2156.634,29.5668,4342.778,656.6139999999999,41227.63999999999,192.0,168.0,24.0,72.0,456.0,384.0,24.0,2601.4584,2242.7976,2716.9175999999998,28.4624,3990.8232,358.6608,40753.771199999996,114.0,76.0,95.0,95.0,475.0,532.0,38.0,1595.0842000000002,1237.5839999999998,1942.9495000000002,27.751,3964.0479000000005,357.50020000000006,29144.251999999997,200.0,100.0,120.0,120.0,640.0,600.0,100.0,2987.3220000000006,1450.2820000000004,1897.3459999999995,29.5671,3457.484000000001,1537.0400000000004,41045.91400000001
Yudai Kimura,2,2,0,0,1,0,1,1,1,27.17,0.49,0.32,14,12,2,85.71,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,3,7,6,1,1,6,5,0.04,-0.02,0.02,22,2,1,0,3,0,0,5.92,159.02,0.2,-0.01,0.2,1,0,21,1,0,5,5,2,0,1,1,100.0,0.28,51.9,Fuki Yamada(3),,,,,,,,,,,,,,,,,,,,55,26,8,0.0102988601,-0.0379,0.0481988601,156.0,78.0,104.0,156.0,598.0,650.0,78.0,2715.4010000000007,1442.2642,2491.1457999999993,31.8427,5754.364200000001,1273.1342,37367.1818,168.0,105.0,21.0,42.0,630.0,483.0,63.0,2828.1582,2422.875,2508.8994,26.7348,2992.3382999999994,405.2831999999999,37633.4994,364.0,234.0,234.0,286.0,1170.0,910.0,130.0,4601.433199999999,3265.769,3098.3602,27.7751,8265.5898,1335.6641999999997,59230.30360000001,340.0,306.0,102.0,136.0,1360.0,1054.0,34.0,4326.67,4079.9932,4546.004,26.7254,9161.0348,246.67680000000001,68190.043,120.0,30.0,60.0,30.0,390.0,345.0,90.0,2375.6444999999994,1562.7405000000003,1662.6615000000002,32.3459,1727.0610000000004,812.9040000000002,20589.289499999995,,,,,,,,,,,,,,
Hiroto Taniguchi,2,2,0,0,1,1,0,2,0,14.71,0.09,0.01,24,19,5,79.17,6,0,0,0,0,1,0,0,0,0,0,4,2,1,1,1,0,5,4,14,11,2,2,6,5,0.05,-0.02,0.02,17,1,0,0,0,0,0,5.46,132.97,0.01,-0.01,0.01,0,0,26,1,0,5,5,3,1,1,0,100.0,0.37,77.15,Koki Morita(7),,,,,,,,,,,,,,,,,,,,46,5,3,-0.1238,-0.2478,0.124,63.0,63.0,63.0,72.0,216.0,225.0,0.0,428.9355,428.9355,793.044,24.164,1359.7532999999999,0.0,11895.6546,250.0,125.0,150.0,175.0,1150.0,925.0,125.0,4798.285000000001,2577.7675,3266.8675,30.8517,5424.2525000000005,2220.5175000000004,49003.015,200.0,140.0,200.0,160.0,760.0,1040.0,60.0,2504.2799999999997,1936.9660000000003,2195.5260000000003,33.7568,5461.232,567.314,41971.11999999999,253.0,230.0,69.0,69.0,920.0,759.0,23.0,2077.153,1855.0558000000005,2751.9683999999993,27.0725,5547.232000000001,222.09719999999993,41279.532900000006,40.0,30.0,30.0,25.0,145.0,130.0,10.0,593.6655,398.081,517.3344999999999,32.3879,887.164,195.5845,7760.0175,80.0,48.0,32.0,24.0,296.0,288.0,32.0,974.0408,704.0728,750.908,27.1612,1629.0808,269.968,16244.6424
Riku Yamane,2,2,0,0,0,0,2,1,1,21.29,0.04,0.0,45,37,7,82.22,2,0,0,0,0,3,0,0,0,1,0,0,0,6,5,5,3,9,8,18,14,3,2,15,15,0.13,-0.04,0.09,31,1,0,0,0,0,0,1.9,123.71,0.04,-0.0,0.04,1,1,31,2,0,4,6,1,0,1,0,100.0,0.1,44.6,Kota Watanabe(7),,,,,,,,,,,,,,,,,,,,95,35,3,-0.1033999999999999,0.0004,-0.1037999999999999,96.0,96.0,0.0,36.0,300.0,300.0,0.0,794.1288000000002,794.1288000000002,1115.7251999999999,22.8198,3007.6728,0.0,16735.8792,560.0,490.0,280.0,245.0,1575.0,1225.0,70.0,4166.529500000001,3673.3025000000002,4762.166499999999,26.7548,13449.135000000002,493.227,71432.49749999998,512.0,448.0,224.0,256.0,1472.0,1184.0,64.0,7301.1008,5973.9648,4368.736,29.3778,14168.2656,1327.136,83515.6672,396.0,297.0,198.0,99.0,1221.0,1221.0,99.0,3377.5599,2616.6327,4708.7733,27.5638,16889.0304,760.9239,70631.6061,252.0,168.0,84.0,84.0,1638.0,1386.0,84.0,3537.7188,2435.7522,4820.692800000001,28.8964,12588.7524,1101.9666,72310.40879999999,14.0,7.0,7.0,7.0,112.0,91.0,7.0,337.631,134.0297,908.2311,30.1797,755.6899,203.6013,4964.996400000001
Itsuki Someno,2,3,0,0,2,0,0,0,2,35.85,0.28,0.13,29,20,7,68.97,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,2,5,3,17,11,1,1,8,6,0.1,-0.03,0.07,26,5,2,0,0,1,1,3.28,154.87,0.08,-0.0,0.08,5,3,31,3,0,11,8,4,0,1,0,100.0,0.36,41.5,Koki Morita(5),,,,,,,,,,,,,,,,,,,,80,29,10,-0.0068999999999999,0.0014,-0.0082999999999999,152.0,95.0,38.0,57.0,380.0,513.0,57.0,3325.1519999999996,2107.2102,1845.6182,28.4037,5977.4817,1217.9418,27684.272999999997,242.0,198.0,66.0,154.0,814.0,572.0,44.0,3744.439599999999,3131.103800000001,2663.936000000001,29.5289,4769.485599999999,613.3358000000002,39959.035599999996,288.0,216.0,120.0,144.0,1032.0,864.0,72.0,4464.0576,2984.244,2646.4464000000003,28.7419,6280.9896,1479.8136,50591.2176,245.0,210.0,105.0,175.0,1365.0,1050.0,35.0,2586.451,2099.5415000000003,4412.901500000001,27.0403,9384.1055,486.9129999999999,66193.54,280.0,224.0,112.0,140.0,1064.0,784.0,56.0,2656.427200000001,2323.1572,2978.8891999999996,27.2069,6595.2348,333.26999999999987,44683.321200000006,506.0,276.0,276.0,414.0,1702.0,1242.0,230.0,8509.4986,5000.089600000002,4115.638400000001,29.6722,8415.023799999999,3509.4136000000003,89035.00560000003
Koki Morita,2,2,0,0,1,1,0,1,1,16.01,0.04,0.01,40,36,3,90.0,7,1,0,0,0,8,3,0,0,0,0,5,2,0,0,1,1,7,7,21,17,2,2,16,16,0.12,-0.05,0.07,30,4,0,0,0,0,0,6.55,248.03,0.05,-0.01,0.04,0,0,39,1,0,4,7,1,0,0,1,100.0,0.12,57.3,Taiki Watanabe(6),,,,,,,,,,,,,,,,,,,,74,17,0,-0.0037,-0.2307936298,0.2270936298,72.0,56.0,24.0,40.0,256.0,208.0,16.0,778.3448,593.0448,789.1856,29.2617,2174.136,185.3,11837.7872,384.0,352.0,96.0,160.0,1632.0,1312.0,32.0,5015.6768,4666.08,4389.8784,27.4222,15327.6736,349.6,65848.1888,247.0,152.0,114.0,57.0,855.0,931.0,95.0,3692.7563999999998,2785.8350999999993,2417.7138999999993,29.3796,7537.320900000001,906.9213000000001,46218.63999999999,406.0,261.0,87.0,203.0,1392.0,1073.0,145.0,5476.420899999999,3416.1245999999996,4145.816800000001,29.9493,12415.697500000002,2060.2991999999995,62187.27230000002,480.0,420.0,90.0,330.0,1260.0,1050.0,60.0,5515.278,4966.08,3487.791,26.3942,11826.197999999997,549.1950000000002,52316.858999999975,340.0,238.0,170.0,204.0,1802.0,1394.0,102.0,6378.8862,5447.1536,3685.6238000000003,29.3029,15197.0378,931.7326,79732.3188
Keito Kawamura,2,2,0,0,0,2,0,2,0,16.09,0.12,0.0,6,3,3,50.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,1,0,2,2,0.0,-0.01,-0.01,6,1,0,0,0,0,0,3.45,44.99,0.02,-0.05,-0.03,1,0,7,2,0,1,4,2,1,1,0,100.0,0.05,20.8,Goki Yamada(2),,,,,,,,,,,,,,,,,,,,16,10,2,-0.1448,0.6595,-0.8043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,228.0,114.0,247.0,722.0,722.0,95.0,4123.6536,3029.7875000000004,2296.4407,27.3807,5763.0686000000005,1093.868,34446.601,242.0,176.0,132.0,110.0,429.0,506.0,66.0,2998.505400000001,2374.0442000000003,1287.3069,29.5114,3697.8557000000005,624.4601,27848.7462
José Elber Pimentel da Silva,1,1,0,0,0,0,1,0,1,69.88,0.05,0.0,41,35,5,85.37,4,0,0,0,0,6,0,0,0,1,0,1,1,4,3,3,3,12,11,12,8,3,1,23,23,0.09,-0.1,-0.02,38,7,0,0,1,1,1,5.57,389.57,0.28,-0.01,0.28,2,1,32,0,0,9,8,0,0,3,0,100.0,0.13,39.0,Taiki Watanabe(8),,,,,,,,,,,,,,,,,,,,93,49,1,-0.0079,-0.0144926407,0.0065926406999999,155.0,93.0,124.0,93.0,558.0,434.0,62.0,2209.1313,1535.6841999999997,2476.2304000000004,27.6262,3725.521100000001,673.4471000000002,37143.4529,330.0,120.0,180.0,90.0,1200.0,1020.0,210.0,6404.883000000002,4022.0429999999997,3610.7879999999986,32.5331,5601.872999999997,2382.8430000000003,54161.838,660.0,396.0,352.0,264.0,1628.0,1496.0,264.0,10493.9208,8361.1748,4693.3832,26.7838,10261.4512,2132.746,89721.83439999999,374.0,238.0,170.0,136.0,1292.0,714.0,136.0,7959.4714,6394.176,4195.2872,29.0765,7430.475599999999,1565.2954,62929.3284,161.0,115.0,92.0,115.0,759.0,529.0,46.0,2221.3055000000004,1521.6546999999994,2636.6303000000007,29.1687,4814.0978000000005,699.6507999999997,30453.085600000006,,,,,,,,,,,,,,
Ken Matsubara,1,1,1,0,0,0,0,1,0,22.2,0.03,0.14,82,61,17,74.39,9,0,0,0,0,7,1,0,0,1,0,5,0,0,0,8,6,29,21,37,18,2,2,35,35,0.13,-0.12,0.01,51,1,0,1,1,0,0,1.21,151.65,0.05,-0.0,0.05,2,0,53,0,1,4,8,1,0,0,0,100.0,0.13,53.4,Takumi Kamijima(21),,,,,,,,,,,,,,,,,,,,146,43,1,0.1493,-0.1708032056,0.3201032056,216.0,189.0,54.0,81.0,675.0,756.0,27.0,1859.8760999999997,1713.8709,2433.375,25.9643,7068.5865,146.0052,36500.6331,315.0,135.0,270.0,180.0,1395.0,1350.0,180.0,5654.191499999999,3360.1679999999997,5570.590499999999,30.7271,7995.901500000001,2294.0235000000007,83558.88,774.0,258.0,215.0,516.0,2236.0,1720.0,516.0,13982.292799999997,8766.543300000001,5559.1217,31.8933,18709.962199999998,5215.749500000001,106271.87269999999,690.0,552.0,92.0,184.0,1886.0,1794.0,138.0,11691.097800000001,9736.976399999998,6367.292399999998,29.2685,17786.999400000004,1954.1214,95509.35839999998,256.0,192.0,64.0,160.0,1248.0,992.0,64.0,3015.6448,2395.9136,3738.1312,26.9098,9977.5776,619.7344,56071.9872,656.0,492.0,287.0,287.0,1804.0,1476.0,164.0,7137.452200000001,5489.3875,4484.826,29.5751,13776.1025,1648.0647,97021.75630000001
