Team_Name,Possession,Field Tilt,Passes (Acc.),LongBalls (Acc.),Tackles (Wins),Interceptions,Clearance,Aerials (Wins),PPDA,Pass/Sequence,10+ Pass Seq.,Total_Box_Entries,Box_Entry_From_Left,Box_Entry_From_Center,Box_Entry_From_Right,Total_Cross,Successful_Cross,Unsuccessful_Cross,Cross_From_LeftWing,Cross_From_RightWing,Goals_Scored,xG,xGOT,Total_Shots,Shots_On_Target,BigChances,BigChances_Missed,xG_per_Shot,Average_Shot_Distance,Shots_Saved,Big_Chance_Saved,Goals_Prevented,Total_High_Turnovers,Shot_Ending_High_Turnovers,Goal_Ending_High_Turnovers,Opponent_Team_Name,Total_xT,Total_Final_Third_Entries,Final_Third_Entries_From_Left,Final_Third_Entries_From_Center,Final_Third_Entries_From_Right,Entry_By_Pass,Entry_By_Carry,Total_Chances_Created,Total_Passes_Into_Zone14,Passes_Into_Halfspaces,Passes_Into_Left_Halfspaces,Passes_Into_Right_Halfspaces,Defense_Line_Height,Vericality_%,Most_pass_combination_from,Most_pass_combination_to,Most_passes_in_combination,Total_Progressive_Passes,Progressive_Passes_From_Left,Progressive_Passes_From_Center,Progressive_Passes_From_Right,Total_Progressive_Carries,Progressive_Carries_From_Left,Progressive_Carries_From_Center,Progressive_Carries_From_Right
Tokyo Verdy,32.53,32.8,337 (233),51 (18),27 (24),7,24,9 (9),9.81,337.0,1,22,5,7,10,12,3,9,5,7,1,1.22,0.72,16,7,1,1,0.08,30.37,7,1,-0.28,10,5,0,Yokohama F. Marinos,1.736106499999997,31,9,9,13,14,17,10,4,28,14,14,36.25,67.55,Kosuke Saito,Hijiri Onaga,15,45,14,6,25,34,11,6,17
Yokohama F. Marinos,67.47,67.2,699 (588),75 (51),16 (10),3,22,7 (7),4.62,699.0,1,29,8,11,10,8,1,7,5,3,2,1.11,1.03,10,3,1,0,0.11,37.37,1,0,-1.97,3,1,0,Tokyo Verdy,1.5604467599999943,51,18,14,19,36,15,4,18,52,31,21,42.85,48.14,Carlos Eduardo Bendini Giusti,Taiki Watanabe,56,71,36,8,27,37,9,11,17
