Team_Name,Possession,Field Tilt,Passes (Acc.),LongBalls (Acc.),Tackles (Wins),Interceptions,Clearance,Aerials (Wins),PPDA,Pass/Sequence,10+ Pass Seq.,Total_Box_Entries,Box_Entry_From_Left,Box_Entry_From_Center,Box_Entry_From_Right,Total_Cross,Successful_Cross,Unsuccessful_Cross,Cross_From_LeftWing,Cross_From_RightWing,Goals_Scored,xG,xGOT,Total_Shots,Shots_On_Target,BigChances,BigChances_Missed,xG_per_Shot,Average_Shot_Distance,Shots_Saved,Big_Chance_Saved,Goals_Prevented,Total_High_Turnovers,Shot_Ending_High_Turnovers,Goal_Ending_High_Turnovers,Opponent_Team_Name,Total_xT,Total_Final_Third_Entries,Final_Third_Entries_From_Left,Final_Third_Entries_From_Center,Final_Third_Entries_From_Right,Entry_By_Pass,Entry_By_Carry,Total_Chances_Created,Total_Passes_Into_Zone14,Passes_Into_Halfspaces,Passes_Into_Left_Halfspaces,Passes_Into_Right_Halfspaces,Defense_Line_Height,Vericality_%,Most_pass_combination_from,Most_pass_combination_to,Most_passes_in_combination,Total_Progressive_Passes,Progressive_Passes_From_Left,Progressive_Passes_From_Center,Progressive_Passes_From_Right,Total_Progressive_Carries,Progressive_Carries_From_Left,Progressive_Carries_From_Center,Progressive_Carries_From_Right
Shonan Bellmare,40.14,44.03,389 (277),55 (22),24 (19),8,18,19 (19),6.54,389.0,1,27,8,12,7,9,1,8,6,3,1,0.39,0.26,9,1,0,0,0.04,21.17,0,0,-0.74,10,5,1,Kawasaki Frontale,1.7343226199999955,25,13,4,8,17,8,2,8,33,22,11,42.1,57.8,Yuto Suzuki,Masaki Ikeda,21,39,22,6,11,16,6,2,8
Kawasaki Frontale,59.86,55.97,580 (475),44 (25),20 (16),8,16,17 (17),4.31,580.0,1,35,9,20,6,9,3,6,6,3,2,0.97,1.21,9,3,0,0,0.11,29.82,1,0,-0.79,11,0,0,Shonan Bellmare,2.472479089999993,29,17,6,6,23,6,7,20,37,25,12,34.4,46.9,Akihiro Ienaga,Asahi Sasaki,50,58,41,3,14,15,7,6,2
