Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Koji Suzuki,4,3,0,0,2,1,1,3,1,10.4,1.88,1.87,21,18,3,85.71,2,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,1,5,4,7,4,0,0,12,12,0.02,-0.04,-0.03,15,0,0,0,0,0,0,1.77,37.25,0.0,-0.02,-0.02,0,0,23,2,0,6,8,4,2,4,1,100.0,0.72,53.8,Naoto Arai(4),,,,,,,,,,,,,,,,,,,,49,22,9,0.611,-0.0578,0.6688,319.0,232.0,29.0,29.0,986.0,812.0,87.0,5463.895800000001,4279.5734999999995,3433.2316999999994,31.1789,7895.960499999997,1184.3252,51498.4697,128.0,96.0,64.0,128.0,464.0,512.0,32.0,1983.9328,1496.8736,2136.0208,30.3548,4130.6784,487.0592,32040.312,168.0,156.0,108.0,72.0,408.0,468.0,12.0,1692.1644,1507.4051999999997,1378.7160000000001,28.2013,3104.2752000000005,184.75920000000002,24564.119999999995,187.0,119.0,119.0,68.0,340.0,408.0,68.0,2138.4521,1759.0444,1485.2764000000002,27.038,4722.0322,379.40770000000003,22279.146,171.0,114.0,38.0,19.0,589.0,418.0,57.0,2784.5791999999997,1945.8793,2333.2987999999996,27.0274,3936.6955000000003,838.6999000000001,27532.936100000003,,,,,,,,,,,,,,
Kaito Taniguchi,4,4,1,0,0,3,0,1,3,23.87,0.18,0.03,25,22,2,88.0,2,1,0,0,0,7,1,0,0,1,0,2,2,0,0,2,2,6,4,7,5,2,2,15,14,0.05,-0.1,-0.05,26,1,0,0,0,0,1,1.82,96.98,0.03,-0.02,0.01,0,0,27,2,1,9,7,3,0,2,0,100.0,0.44,48.6,Naoto Arai(7),,,,,,,,,,,,,,,,,,,,72,25,8,-0.2597,0.0140999999999999,-0.2738,231.0,168.0,63.0,84.0,672.0,693.0,63.0,3892.7112000000006,2665.8639000000007,2516.3334000000004,29.9961,6200.516700000001,1226.8473,37745.01150000001,126.0,126.0,72.0,54.0,684.0,558.0,0.0,1745.217,1745.217,2317.6403999999998,22.9592,4267.584,0.0,34764.6024,380.0,300.0,40.0,100.0,780.0,760.0,80.0,3722.232000000001,2949.78,2491.6759999999995,28.6958,6494.825999999999,772.4520000000001,44393.37799999999,168.0,126.0,140.0,70.0,238.0,350.0,42.0,2289.8820000000005,2021.2094000000002,1247.7527999999998,28.7538,3407.5622000000003,268.6726,18716.290599999997,352.0,192.0,32.0,160.0,928.0,800.0,160.0,7057.488,3972.8384,4015.0528,29.5509,10310.1952,3084.6496,60225.792,465.0,279.0,62.0,155.0,1364.0,1116.0,186.0,8313.403299999998,3912.324000000001,3354.503800000001,31.1139,9387.9129,4401.0762,82241.25159999999
Yoichi Naganuma,3,3,0,0,0,3,0,2,1,15.95,0.43,0.0,17,10,6,58.82,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,7,5,8,3,3,2,6,5,0.06,-0.01,0.05,21,2,0,0,0,0,1,2.77,127.01,0.06,-0.0,0.05,2,0,25,3,0,1,9,2,0,2,0,100.0,0.26,37.2,Yusuke Maruhashi(5),,,,,,,,,,,,,,,,,,,,41,25,3,-0.2758,0.0046,-0.2804,176.0,80.0,160.0,176.0,448.0,464.0,96.0,3622.2976,1679.1232,1720.0016,29.2688,2951.5632,1943.1744,25800.0192,210.0,147.0,189.0,147.0,546.0,525.0,63.0,3792.427800000001,3027.2045999999996,2285.3754,27.0732,2863.0749000000014,765.2232000000001,34280.6394,270.0,216.0,162.0,180.0,738.0,648.0,54.0,3919.9374000000003,3426.1164000000003,2031.8616000000002,29.0032,4589.0802,493.821,36200.9916,39.0,39.0,21.0,30.0,69.0,66.0,0.0,420.6474,413.09069999999997,263.256,25.268,911.2608,7.556699999999999,3948.8418,493.0,348.0,58.0,145.0,1160.0,986.0,145.0,6313.560999999999,4492.6684000000005,3514.7188,31.2049,9377.596600000003,1820.8955000000003,52720.77040000001,225.0,125.0,200.0,150.0,1200.0,1150.0,100.0,3859.5725,2795.4525,2445.85,30.8492,6465.525,1064.1200000000001,59964.095
Naoto Arai,2,2,1,0,0,0,1,1,1,17.95,0.47,0.98,82,72,7,87.8,15,3,0,0,0,10,2,0,0,0,0,11,8,1,0,5,4,33,27,43,36,3,2,32,32,0.35,-0.07,0.28,70,4,0,0,0,0,0,3.21,371.6,0.06,-0.02,0.04,2,2,68,1,1,3,7,2,0,4,1,100.0,0.07,61.95,Hiroki Akiyama(20),,,,,,,,,,,,,,,,,,,,155,27,3,0.9748030221,-0.1542991031999999,1.1291021253,368.0,184.0,92.0,276.0,1426.0,1242.0,184.0,7354.4386,4114.4148,4841.0446,31.4698,8004.4094,3240.0238000000004,72615.65979999998,434.0,186.0,310.0,496.0,2108.0,1550.0,248.0,8251.418800000001,5696.987800000002,7170.380600000003,30.5045,9862.358599999996,2554.4309999999996,107555.74619999997,246.0,164.0,82.0,164.0,1558.0,1517.0,82.0,2736.5819,1582.1571999999999,4380.4195,30.9009,8190.9841,1154.4247,78044.4471,196.0,196.0,112.0,112.0,532.0,448.0,0.0,1996.5763999999997,1869.1652000000004,2107.0224,28.4052,4376.962799999999,127.41119999999998,31605.3416,136.0,102.0,34.0,51.0,425.0,323.0,34.0,1514.5504,1289.3089,1644.4984000000002,26.8267,2057.3740000000003,225.2415,24667.481099999997,336.0,224.0,448.0,336.0,2352.0,2184.0,112.0,6323.419199999999,5004.271999999999,4985.3608,28.5664,12863.054399999999,1319.1527999999998,122224.36799999999
Yota Komi,2,2,0,0,2,0,0,1,1,24.33,0.09,0.33,24,19,3,79.17,0,1,0,0,0,2,1,0,0,2,0,0,0,4,2,3,2,5,5,5,4,3,3,12,10,0.24,-0.04,0.19,19,4,1,0,1,0,1,4.38,152.88,0.08,-0.01,0.07,0,0,20,0,0,7,6,2,0,0,0,100.0,0.11,45.05,Naoto Arai(9),,,,,,,,,,,,,,,,,,,,52,28,7,0.8863,-0.0087999999999999,0.8951,120.0,90.0,30.0,75.0,420.0,285.0,30.0,1036.1354999999999,762.4214999999998,1542.4845000000003,28.9041,3218.9880000000007,273.714,23137.270500000006,264.0,216.0,24.0,48.0,624.0,744.0,48.0,2408.0376,1738.6824,2958.696,28.5189,5209.8816,669.3552,44380.4568,320.0,300.0,180.0,120.0,660.0,700.0,20.0,3005.278,2811.952,2380.412,28.1113,5404.570000000001,193.32600000000002,42410.99400000001,96.0,96.0,48.0,32.0,368.0,432.0,0.0,1232.9216,1232.9216,1604.3904,23.9109,3842.0448,0.0,24065.8464,119.0,68.0,34.0,68.0,425.0,306.0,51.0,2247.6992,1148.2768999999998,2157.9749,34.0178,3629.857,1099.4223,25464.0943,,,,,,,,,,,,,,
Motoki Hasegawa,2,2,0,0,1,0,1,1,1,13.81,0.13,0.09,15,15,0,100.0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,0,0,10,10,0.03,-0.03,-0.0,14,0,0,0,0,0,0,1.05,56.76,0.03,0.0,0.03,0,0,14,1,0,3,6,2,1,0,0,100.0,0.11,33.85,Naoto Arai(5),,,,,,,,,,,,,,,,,,,,29,19,1,0.2152,-0.117,0.3322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,5.0,3.0,1.0,26.3486,20.1068,102.8551,27.6238,56.5107,6.2418,327.4221,648.0,378.0,486.0,486.0,2592.0,2268.0,270.0,9162.8604,5934.081600000001,5613.84,31.2617,23661.509400000006,3228.778799999999,137632.69439999998
Marcelo Ryan Silvestre dos Santos,2,2,0,1,0,1,0,0,2,61.28,0.4,0.0,14,9,5,64.29,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,2,0,1,1,4,2,1,1,6,6,0.0,-0.09,-0.09,12,2,0,0,0,1,2,2.15,113.42,0.14,-0.0,0.14,2,2,19,1,0,7,5,3,1,1,0,100.0,0.45,40.0,Yuki Horigome(6),,,,,,,,,,,,,,,,,,,,35,24,7,-0.1901,-0.0336985750999999,-0.1564014249,208.0,182.0,130.0,78.0,936.0,754.0,26.0,3418.2980000000002,2921.0063999999998,2870.4702,31.0369,5631.4908,497.2916,43057.06080000001,135.0,90.0,30.0,75.0,585.0,345.0,45.0,1994.8605000000005,1190.6055000000001,1791.0509999999995,29.7696,2744.2229999999995,804.2549999999998,26865.754499999995,96.0,64.0,48.0,32.0,592.0,448.0,32.0,1434.8352,964.1712,1620.376,32.5958,3237.5136,470.664,28869.6944,63.0,45.0,27.0,36.0,207.0,198.0,18.0,991.7037,778.1886000000001,768.7773000000001,28.0139,1846.3428000000001,213.516,11531.6559,99.0,88.0,11.0,55.0,341.0,264.0,11.0,1239.9959,1113.6675000000002,1148.0469,27.6197,2285.8594000000003,126.32839999999999,15211.618400000001,,,,,,,,,,,,,,
Eiji Miyamoto,2,2,0,0,0,2,0,1,1,22.17,0.16,0.0,66,58,6,87.88,4,1,1,0,0,4,2,0,0,0,0,2,1,1,1,15,13,13,12,26,20,2,2,26,26,0.12,-0.05,0.07,48,1,0,0,0,0,0,2.7,259.82,0.12,-0.01,0.11,1,0,53,1,0,7,4,0,0,0,0,100.0,0.07,64.9,Hiroki Akiyama(14),,,,,,,,,,,,,,,,,,,,128,19,0,-0.1216,0.0007087302,-0.1223087302,336.0,294.0,42.0,84.0,1806.0,1596.0,42.0,5542.731599999999,4648.7573999999995,5172.8964,27.8915,17114.7816,893.9742000000001,77593.4166,308.0,308.0,132.0,176.0,1760.0,1628.0,0.0,4911.482400000001,4911.482400000001,6322.2104,24.8164,18658.4904,0.0,94833.14279999999,315.0,270.0,225.0,135.0,1935.0,1665.0,45.0,2536.479,2384.689500000001,5105.4795,25.4629,14968.975499999995,151.78949999999998,90962.61299999997,160.0,128.0,64.0,32.0,896.0,736.0,32.0,2625.7472,2499.7408,3197.7248,25.486,9039.1264,126.0064,47965.8752,377.0,348.0,145.0,203.0,957.0,899.0,29.0,2750.3339000000005,2576.1744,3565.7906999999987,26.1559,10700.5215,174.15950000000007,53486.840200000006,364.0,338.0,104.0,52.0,1430.0,1430.0,26.0,3799.6451999999995,3711.7807999999995,2881.45,25.5129,17804.3658,87.8644,70643.5678
Ayumu Yokoyama,2,2,0,0,1,0,1,2,0,22.71,0.08,0.26,11,6,5,54.55,0,0,0,0,0,4,0,0,0,2,1,1,1,0,0,1,0,7,4,1,0,2,1,8,5,0.0,-0.03,-0.03,16,1,1,0,0,0,1,3.43,86.09,0.06,0.0,0.06,2,2,11,2,0,4,6,2,0,1,0,100.0,0.07,26.5,Tae-Hyeon Kim(3),,,,,,,,,,,,,,,,,,,,24,21,3,0.1208,0.0537,0.0671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,27.0,36.0,0.0,0.0,0.0,1078.5339000000001,19.7124,208.1466,0.0,1869.4593,700.0,600.0,400.0,450.0,3200.0,2550.0,100.0,10260.180000000002,8226.605000000001,5239.4400000000005,27.8881,20766.885,2033.575,128453.65000000001
Yoshiaki Takagi,1,1,0,0,0,0,1,0,1,26.0,0.02,0.0,13,9,4,69.23,1,2,0,0,0,5,1,0,0,1,1,0,0,2,1,0,0,2,1,3,2,3,2,6,5,0.31,-0.02,0.29,9,0,0,0,0,0,0,2.4,39.5,0.0,-0.02,-0.02,0,0,10,1,0,2,5,0,0,1,0,100.0,0.06,27.5,Naoto Arai(4),,,,,,,,,,,,,,,,,,,,26,18,1,0.061,-0.0162000037,0.0772000036999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,4.0,0.0,4.0,10.0,2.0,108.6252,104.168,235.8738,25.1027,150.9742,4.4572,750.8646,748.0,616.0,352.0,308.0,2596.0,2420.0,132.0,7977.719200000001,6731.252,4993.4676,29.2879,21226.268799999998,1246.4672,122423.17120000001
