Team_Name,Possession,Field Tilt,Passes (Acc.),LongBalls (Acc.),Tackles (Wins),Interceptions,Clearance,Aerials (Wins),PPDA,Pass/Sequence,10+ Pass Seq.,Total_Box_Entries,Box_Entry_From_Left,Box_Entry_From_Center,Box_Entry_From_Right,Total_Cross,Successful_Cross,Unsuccessful_Cross,Cross_From_LeftWing,Cross_From_RightWing,Goals_Scored,xG,xGOT,Total_Shots,Shots_On_Target,BigChances,BigChances_Missed,xG_per_Shot,Average_Shot_Distance,Shots_Saved,Big_Chance_Saved,Goals_Prevented,Total_High_Turnovers,Shot_Ending_High_Turnovers,Goal_Ending_High_Turnovers,Opponent_Team_Name,Total_xT,Total_Final_Third_Entries,Final_Third_Entries_From_Left,Final_Third_Entries_From_Center,Final_Third_Entries_From_Right,Entry_By_Pass,Entry_By_Carry,Total_Chances_Created,Total_Passes_Into_Zone14,Passes_Into_Halfspaces,Passes_Into_Left_Halfspaces,Passes_Into_Right_Halfspaces,Defense_Line_Height,Vericality_%,Most_pass_combination_from,Most_pass_combination_to,Most_passes_in_combination,Total_Progressive_Passes,Progressive_Passes_From_Left,Progressive_Passes_From_Center,Progressive_Passes_From_Right,Total_Progressive_Carries,Progressive_Carries_From_Left,Progressive_Carries_From_Center,Progressive_Carries_From_Right
Kashiwa Reysol,52.26,57.58,347 (217),63 (32),18 (16),3,25,21 (21),2.8,347.0,1,14,5,4,5,6,4,2,4,2,1,1.41,0.59,10,3,2,2,0.14,25.23,2,0,-0.41,12,4,0,Kyoto Sanga FC,1.3682554999999956,15,8,1,6,11,4,4,7,20,15,5,41.38,65.19,Matheus Gonçalves Sávio,Diego Jara Rodrigues,16,35,16,3,16,11,6,1,4
Kyoto Sanga FC,47.74,42.42,317 (185),41 (15),22 (21),3,34,34 (34),3.56,317.0,1,9,4,3,2,6,3,3,1,5,1,1.05,1.44,11,5,2,1,0.1,27.28,4,0,-0.56,10,4,1,Kashiwa Reysol,1.3024809599999974,23,6,6,11,11,12,1,6,11,6,5,37.95,65.42,Hisashi Appiah Tawiah,Shinnosuke Fukuda,11,29,8,4,17,18,6,3,9
