Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Pieros Soteriou,5,4,0,0,3,2,0,2,3,41.37,1.13,1.02,18,15,3,83.33,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,5,4,6,6,3,1,0,0,10,10,0.03,-0.03,-0.01,14,0,0,0,0,0,0,2.25,33.72,0.01,0.0,0.01,0,0,16,1,0,3,3,3,0,2,0,100.0,0.33,38.55,Keisuke Osako(4),1.0,1.0,0.0,0.0,1.0,3.0,100.0,1.0,1.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,50,31,6,-1.1185999999999998,0.0251,-1.1436999999999995,299.0,184.0,207.0,207.0,943.0,828.0,115.0,4151.2838,3256.8023000000007,2954.048700000001,30.3851,8643.2137,894.4814999999999,44310.7328,63.0,45.0,27.0,54.0,306.0,207.0,18.0,750.6963000000001,598.7394,797.8374,26.6649,1665.6939,151.9569,11967.5556,637.0,490.0,98.0,196.0,2695.0,2303.0,147.0,11380.5685,9971.7597,5729.3789,29.0163,18176.848899999997,1408.8039,116688.34030000001,330.0,286.0,154.0,88.0,506.0,594.0,44.0,3276.974799999999,2894.0186,2230.9980000000005,27.8219,5338.130600000002,382.9562000000001,33464.96339999999,91.0,65.0,26.0,13.0,273.0,260.0,26.0,2148.5295,1041.5911999999998,1266.5132999999998,31.3692,2258.1494000000002,1106.9383,16000.284300000001,,,,,,,,,,,,,,
Yuki Ohashi,5,7,2,0,1,2,0,3,2,21.35,0.77,1.81,30,20,9,66.67,1,1,0,0,0,9,1,0,0,1,0,0,0,0,0,4,2,8,6,10,5,5,3,13,11,0.07,-0.03,0.04,31,4,0,0,0,0,0,4.14,193.93,0.31,-0.01,0.3,2,1,32,5,1,13,10,4,2,1,0,100.0,0.71,38.3,Shunki Higashi(6),,,,,,,,,,,,,,,,,,,,83,55,8,0.8795,-0.0233060964,0.9028060964,459.0,378.0,270.0,216.0,1107.0,999.0,81.0,4007.051099999999,3332.6721,3582.1278000000007,28.8351,8676.6903,674.3789999999999,53731.90350000001,198.0,180.0,126.0,108.0,540.0,540.0,18.0,1807.1388000000002,1703.8583999999998,1642.5828,26.199,2658.0653999999995,103.28039999999999,24638.749200000002,551.0,435.0,116.0,232.0,1566.0,1160.0,116.0,6645.631300000001,5962.4522000000015,3204.7175000000007,27.9432,9876.234199999995,683.1791000000001,65269.406799999975,216.0,168.0,192.0,168.0,744.0,720.0,48.0,2343.54,1855.5384,2283.456,27.8452,5365.1952,488.00160000000005,34251.8256,351.0,273.0,117.0,117.0,1092.0,663.0,78.0,5038.055100000002,4052.9073000000008,3570.8750999999997,27.3881,6491.690399999999,985.1478000000004,53563.12650000002,344.0,258.0,301.0,172.0,1634.0,2107.0,86.0,7601.432500000001,4421.2299,4586.083299999998,30.6719,11117.727399999998,3180.2026000000005,104409.8222
Shinzo Koroki,3,3,0,0,0,1,2,3,0,9.44,0.33,0.0,5,4,1,80.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,3,2,0.01,-0.03,-0.03,5,0,0,0,0,0,0,4.5,15.95,0.0,-0.0,-0.0,0,0,7,2,0,3,4,3,2,0,1,100.0,0.49,22.8,Naoki Maeda(2),,,,,,,,,,,,,,,,,,,,20,15,5,-0.2686,0.0167,-0.2853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayato Araki,3,3,0,0,0,1,2,3,0,9.98,0.2,0.0,42,30,9,71.43,4,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,4,12,10,25,16,2,2,8,8,0.03,-0.01,0.02,29,0,0,0,0,0,0,3.3,134.18,0.01,-0.01,-0.0,0,0,30,4,0,3,6,5,2,1,1,100.0,0.95,71.85,Keisuke Osako(6),2.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,6.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,67,2,2,-0.0978,-0.1478091856,0.0500091855999999,264.0,198.0,165.0,99.0,1023.0,891.0,66.0,2476.98,1897.5066,3694.4094,27.147,5315.178,579.4734,55416.1344,96.0,72.0,72.0,48.0,432.0,384.0,24.0,1113.6072,768.6863999999999,2057.7792,28.0737,3461.5536,344.9208,30866.6976,128.0,32.0,96.0,64.0,1120.0,928.0,96.0,2207.5456,1475.7184,3051.1104,30.9125,4283.3664,731.8272,62140.9536,52.0,0.0,52.0,26.0,468.0,546.0,52.0,833.9656,443.6275999999999,2294.6534,27.2376,2631.5146000000004,390.33799999999997,34419.80360000001,77.0,55.0,33.0,22.0,231.0,198.0,22.0,1324.8301000000001,1123.4915999999998,977.7537000000001,29.2788,1789.4701000000002,201.33849999999995,14666.310999999998,72.0,48.0,24.0,36.0,384.0,384.0,24.0,888.2951999999999,725.0279999999999,1083.402,26.8905,2289.63,163.26720000000003,24665.444399999993
Takumu Kawamura,2,2,0,0,2,0,0,0,2,30.13,0.07,0.07,26,20,5,76.92,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,2,10,8,7,4,5,5,12,10,0.01,-0.03,-0.03,18,0,1,0,0,0,0,2.29,53.56,0.03,-0.0,0.03,0,0,26,1,0,4,0,0,0,0,0,100.0,0.03,68.35,Tsukasa Shiotani(7),,,,,,,,,,,,,,,,,,,,54,9,1,-0.004402333,0.023,-0.027402333,352.0,286.0,176.0,154.0,1034.0,924.0,66.0,4095.1943999999994,3483.4315999999985,3077.0563999999995,29.8076,8400.154400000001,611.7628000000002,46155.84600000001,144.0,80.0,64.0,16.0,560.0,448.0,64.0,2184.6416,1593.8672,1687.2208,28.9487,5207.8816,590.7744,25308.3184,512.0,448.0,256.0,352.0,1504.0,1312.0,64.0,5004.272,4590.9152,3921.4208,26.8493,16883.9328,413.3536,79866.2464,408.0,240.0,96.0,168.0,672.0,504.0,168.0,6806.3207999999995,5351.232,2679.1992,27.9493,6713.8776,1455.0911999999998,40187.9856,90.0,63.0,45.0,81.0,270.0,180.0,27.0,1981.287,1567.5228,960.4943999999999,30.0692,2618.3907,413.76419999999996,14407.4187,156.0,130.0,65.0,91.0,429.0,338.0,26.0,2004.6896999999994,1317.1249,1473.1612999999998,32.4174,3910.1387,687.5647999999999,24135.294299999994
Mutsuki Kato,2,2,0,0,1,1,0,0,2,32.98,0.06,0.0,27,17,10,62.96,2,2,1,0,0,4,3,0,0,3,1,0,0,0,0,1,0,5,3,12,6,3,2,12,9,0.47,-0.01,0.46,26,1,0,0,0,1,0,4.89,188.07,0.09,-0.0,0.08,1,1,17,1,0,8,3,2,0,1,0,100.0,0.14,39.8,Shunki Higashi(6),0.0,0.0,0.0,1.0,0.0,2.0,100.0,3.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,62,35,7,-0.1075,-0.0561,-0.0514,280.0,140.0,140.0,56.0,1204.0,1008.0,140.0,3561.1548,2340.4752000000003,3773.5600000000004,29.3011,8907.8892,1220.6796000000004,56603.38320000002,190.0,152.0,38.0,38.0,627.0,494.0,38.0,1908.0484000000001,1495.5469999999998,1714.3795000000005,27.1501,4430.374400000001,412.49950000000007,25715.682999999997,360.0,288.0,126.0,162.0,720.0,666.0,72.0,3854.5614,3201.336,2101.878,29.281,7188.722999999999,653.2254,42808.2354,210.0,147.0,147.0,105.0,756.0,903.0,63.0,2558.2998000000007,1510.9373999999998,2233.3164,32.8897,5585.903399999999,1047.3602999999998,33499.7355,210.0,105.0,126.0,63.0,567.0,420.0,105.0,2408.609700000001,1619.7552000000003,1968.5462999999997,29.6837,4382.5404,788.8566000000002,29528.190299999995,45.0,45.0,0.0,30.0,330.0,270.0,0.0,495.5924999999998,448.71900000000005,1639.9665000000007,25.9085,1306.2210000000002,46.875,10687.111499999999
Yoshio Koizumi,2,3,0,0,1,0,1,1,1,29.15,0.25,0.22,45,33,11,73.33,8,1,0,0,0,8,1,0,0,1,1,3,1,4,2,3,0,11,9,23,18,2,2,15,11,0.32,-0.02,0.3,49,2,0,0,0,0,0,3.1,245.57,0.25,-0.01,0.23,6,3,36,3,0,8,9,3,0,0,0,100.0,0.22,54.3,Samuel Gustafson(9),,,,,,,,,,,,,,,,,,,,90,30,5,0.0248999999999999,0.6158010653999999,-0.5909010653999999,572.0,484.0,264.0,176.0,1892.0,1892.0,88.0,5864.98,4577.342,5920.644399999999,27.9243,16369.738000000001,1287.6424,88809.6484,132.0,110.0,33.0,77.0,374.0,385.0,22.0,1304.6825000000001,891.5874,1099.2102000000002,29.9341,3375.336799999999,413.0951,16488.146399999998,400.0,250.0,200.0,125.0,1100.0,1225.0,150.0,5320.665000000001,3625.215,3020.165,32.3691,12114.452500000001,1695.45,61510.7125,312.0,288.0,120.0,144.0,864.0,768.0,24.0,2385.2712,2248.9103999999998,2530.86,26.0765,6237.564,136.35840000000002,37962.8856,420.0,315.0,105.0,35.0,910.0,1190.0,105.0,5967.885000000001,4218.5885,3757.1379999999995,29.8206,10948.329,1749.3,56357.06300000001,1026.0,702.0,108.0,432.0,2322.0,1998.0,324.0,16731.197999999997,13902.083999999999,6436.8756,30.1495,19596.551399999993,2829.1140000000005,146546.20440000002
Makoto Mitsuta,2,2,0,0,0,1,1,0,2,41.02,0.02,0.0,72,51,16,70.83,13,2,0,0,0,12,5,0,0,1,0,6,5,9,1,6,5,12,7,44,32,3,2,14,13,0.75,-0.02,0.73,54,5,0,0,1,1,2,4.1,336.01,0.16,-0.0,0.16,5,3,51,2,0,7,8,0,0,2,0,100.0,0.13,47.4,Shunki Higashi(11),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,44,2,0.6166935552,-0.0469940144,0.6636875696,198.0,132.0,66.0,66.0,1254.0,957.0,66.0,3223.5885,2872.9008,4008.2427,26.7202,7596.1545,350.6844,60123.6537,100.0,100.0,25.0,25.0,725.0,500.0,0.0,439.43500000000006,439.43500000000006,2203.9025,22.3809,4730.134999999999,0.0,33058.5375,456.0,399.0,171.0,171.0,2451.0,2280.0,57.0,4519.347599999999,4241.865900000001,6035.353799999998,26.1511,15500.8593,277.4817,122920.00409999999,152.0,152.0,38.0,152.0,950.0,684.0,0.0,2247.8444,2247.8444,3589.0771999999997,24.9436,4335.6594000000005,0.0,53836.161799999994,216.0,144.0,36.0,108.0,972.0,756.0,72.0,4592.7216,2559.3983999999996,3392.4492,28.8553,7008.5772000000015,2033.3231999999998,50886.75240000001,990.0,550.0,550.0,440.0,2255.0,2475.0,440.0,15986.866499999998,11193.644000000002,6214.031999999999,29.501,23580.721999999994,4793.2225000000035,141472.7765
Takahiro Sekine,2,2,0,0,1,0,1,2,0,12.84,0.34,0.37,24,12,11,50.0,0,2,0,0,0,3,3,0,0,0,0,3,1,2,2,2,0,6,1,14,6,1,1,6,4,0.11,-0.02,0.09,21,0,0,0,0,0,0,1.91,74.01,0.04,-0.0,0.04,0,0,18,0,0,3,6,1,0,0,0,100.0,0.07,46.5,Ryoma Watanabe(6),,,,,,,,,,,,,,,,,,,,52,19,4,0.1683960036999999,-0.0994089341,0.2678049378,546.0,504.0,420.0,336.0,1512.0,1428.0,42.0,4709.7456,4437.384,5473.1795999999995,29.1654,12127.991399999999,272.3657999999999,82097.7108,90.0,60.0,0.0,30.0,230.0,190.0,30.0,1213.5439999999999,907.9179999999999,874.24,28.8153,1529.3890000000001,305.625,13113.6,230.0,230.0,92.0,115.0,989.0,874.0,0.0,2427.0037000000007,2427.0037000000007,2632.8077000000003,24.7131,7716.382699999997,0.0,53621.535299999974,242.0,198.0,88.0,154.0,682.0,638.0,44.0,2882.4752000000003,2253.8515999999995,2293.5154,30.09,4153.6813999999995,628.6236,34402.72660000001,72.0,48.0,24.0,12.0,132.0,96.0,24.0,1262.1983999999998,826.2288,1203.2160000000001,28.4165,1292.412,435.96960000000007,7720.637999999998,,,,,,,,,,,,,,
Shunki Higashi,2,1,0,0,0,1,1,0,2,,0.02,0.0,56,43,12,76.79,14,5,0,0,0,11,4,0,0,3,2,4,3,7,6,2,1,18,13,33,23,4,3,15,14,1.2,-0.02,1.18,38,3,0,0,1,1,0,4.82,264.18,0.09,-0.01,0.08,3,3,35,0,0,4,10,1,0,2,0,100.0,0.12,46.4,Sho Sasaki(10),1.0,1.0,0.0,0.0,2.0,4.0,83.33,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,98,43,3,0.5423,-0.0912,0.6335,225.0,200.0,100.0,200.0,1000.0,750.0,25.0,3782.995,3769.1000000000004,3038.315,25.0114,5281.400000000001,13.894999999999998,45574.7375,297.0,198.0,99.0,132.0,1056.0,990.0,99.0,4226.9535,3215.0184,3086.3085,29.7048,6473.7948,1011.9351,46294.6077,630.0,462.0,210.0,420.0,2184.0,1722.0,168.0,9130.501800000002,6862.552200000001,4644.8724,29.909,9329.426399999998,2267.9496,94600.59839999999,242.0,176.0,110.0,88.0,506.0,484.0,66.0,2667.7903999999994,1911.2323999999999,2180.1054,30.6767,3008.4758,756.5558000000002,32701.581,176.0,112.0,48.0,128.0,432.0,192.0,64.0,4070.6048,2829.6384,1675.8192,29.5599,3491.8416,1240.9664,25137.2896,592.0,481.0,259.0,370.0,1813.0,1628.0,111.0,10538.787699999999,8845.589999999998,4170.273699999999,27.8442,12390.367599999998,1693.1976999999995,94943.22840000002
