Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Byron Gustavo Andrés Vásquez Maragaño,4,4,0,0,0,3,1,3,1,17.52,0.34,0.0,20,13,6,65.0,1,1,0,0,0,3,0,0,0,3,0,1,0,0,0,1,1,2,0,9,2,0,0,10,10,0.03,-0.05,-0.03,30,5,0,0,1,1,1,3.77,268.84,0.1,-0.02,0.09,2,0,23,2,0,8,6,2,1,3,0,100.0,0.32,39.7,Junya Suzuki(5),,,,,,,,,,,,,,,,,,,,45,22,3,-0.4438,-0.0475010234999999,-0.3962989764999999,221.0,170.0,102.0,170.0,442.0,442.0,51.0,2519.9049,2070.2209,1543.8328999999999,28.7663,4335.697,449.684,23157.488400000002,100.0,70.0,70.0,60.0,260.0,210.0,30.0,1187.549,918.311,977.264,29.612,2069.541,269.238,14658.954,504.0,280.0,168.0,252.0,1400.0,1008.0,224.0,7757.164800000002,4698.719199999999,3152.8896,30.6326,7986.400800000001,3058.4456,64371.48759999998,308.0,196.0,140.0,168.0,1204.0,1148.0,112.0,4312.5992,3513.1431999999995,3343.1412,29.4561,6834.449999999999,799.4560000000001,50147.1208,110.0,88.0,88.0,110.0,682.0,594.0,22.0,2289.0494000000003,1188.7876000000003,2365.7920000000004,29.928,3868.526199999999,1100.2617999999998,35486.87120000001,84.0,72.0,48.0,96.0,192.0,96.0,12.0,673.9548000000001,534.4476000000001,1377.8004000000003,28.9413,1224.8507999999997,139.5072,9667.562399999999
Kota Yamada,4,6,0,0,1,2,1,3,1,17.87,0.4,0.2,26,20,6,76.92,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,2,7,4,13,7,3,3,8,8,0.08,-0.04,0.05,28,1,0,0,1,0,1,3.62,159.01,0.27,-0.02,0.25,3,0,27,5,0,11,7,4,2,0,0,100.0,0.5,42.0,Riku Matsuda(4),2.0,2.0,2.0,1.0,0.0,3.0,100.0,9.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,78,32,13,0.0599084359,-0.0700111442,0.1299195801,378.0,243.0,162.0,216.0,702.0,594.0,135.0,4815.792899999999,3355.0983000000006,2554.3079999999995,30.1415,6898.386599999999,1460.6919,38314.63619999999,192.0,176.0,32.0,128.0,544.0,400.0,16.0,2023.6768,1974.6224,1568.1056,25.1844,4241.1728,49.0544,23521.5888,340.0,260.0,120.0,260.0,860.0,540.0,80.0,4842.868,3397.880000000001,2415.577999999999,31.3195,6958.9220000000005,1444.9899999999996,49318.06200000001,300.0,150.0,125.0,200.0,850.0,700.0,150.0,5374.8724999999995,3728.5724999999998,2882.2375,28.9324,5936.5,1646.3024999999998,43233.565,221.0,153.0,85.0,170.0,612.0,493.0,68.0,2847.347,2439.8638,1804.1114,25.8816,3720.8835,407.4832,27061.6693,608.0,456.0,494.0,646.0,1748.0,1862.0,152.0,9744.609799999995,6607.508400000001,4431.643599999999,29.4575,12387.160199999998,3137.0975999999987,97200.73200000003
Takashi Usami,3,1,1,0,1,0,1,0,3,20.12,0.14,0.82,20,11,9,55.0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,4,2,5,5,7,3,1,0,9,7,0.04,-0.02,0.02,23,2,1,0,1,0,2,2.95,132.86,0.17,-0.01,0.16,0,0,15,1,0,4,5,1,0,0,0,100.0,0.16,39.3,Juan Matheus Alano Nascimento(4),,,,,,,,,,,,,,,,,,,,53,31,9,-0.0427,0.0066,-0.0493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,46.0,23.0,46.0,184.0,184.0,46.0,1811.8364999999997,809.8231,2338.2122,32.0891,1272.8774999999998,1002.0110999999999,13132.956300000005,135.0,54.0,81.0,135.0,459.0,567.0,81.0,1808.2898999999998,1233.0171,2409.7932,27.3245,3803.8518000000004,575.2728000000002,36146.916900000004,328.0,287.0,164.0,205.0,1271.0,1476.0,41.0,3555.2904,2461.8204000000005,3798.0965,31.0942,5868.5227,1093.4700000000003,83304.8947
Keiya Sento,3,4,0,0,0,0,3,3,0,11.0,0.16,0.0,31,23,6,74.19,6,1,0,0,0,3,1,0,0,0,0,1,1,1,1,1,1,3,1,21,13,0,0,8,8,0.08,-0.01,0.07,16,0,0,0,0,0,0,6.1,125.31,0.0,-0.04,-0.04,0,0,25,0,0,5,3,1,0,0,0,100.0,0.07,54.7,Kotaro Hayashi(9),,,,,,,,,,,,,,,,,,,,59,8,2,-0.1339984261,-0.0384,-0.0955984261,273.0,210.0,63.0,84.0,546.0,546.0,63.0,2241.2838000000006,1916.6301,1949.1192,26.3713,6346.863600000001,324.6537,29236.798500000004,132.0,110.0,22.0,55.0,297.0,231.0,22.0,1651.3177999999998,1324.6827,1063.4888,28.0318,2296.5349,326.63509999999997,15952.335299999997,494.0,418.0,190.0,380.0,2394.0,1786.0,76.0,5195.151,4341.4202000000005,4443.1576,27.7106,16650.46,853.7307999999998,90714.45500000002,352.0,320.0,32.0,32.0,928.0,1056.0,32.0,3032.5024,2822.3328,3559.3536,26.0468,9370.1184,210.1696,53390.3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junya Suzuki,2,1,1,0,1,0,0,0,2,27.99,0.81,0.97,40,25,12,62.5,11,3,0,0,0,10,5,0,0,4,2,4,3,5,2,2,0,6,2,23,14,2,1,10,9,0.76,-0.04,0.72,17,1,0,0,0,0,0,2.62,97.12,0.02,-0.0,0.02,0,0,21,1,0,2,5,0,0,0,0,100.0,0.03,48.1,Byron Gustavo Andrés Vásquez Maragaño(7),,,,,,,,,,,,,,,,,,,,61,21,0,0.5878046687,-0.1711,0.7589046687000001,96.0,80.0,32.0,64.0,320.0,224.0,16.0,786.2944,679.944,1315.3072,28.4677,2026.2656,106.352,19729.6096,22.0,0.0,22.0,22.0,231.0,209.0,22.0,314.01919999999996,182.02910000000003,885.0490000000002,27.3955,1257.3230999999996,131.9901,13275.7295,104.0,65.0,65.0,52.0,468.0,442.0,39.0,1342.5048000000002,772.4079999999997,1321.9297,30.4621,2233.8199,570.0954999999999,26989.389699999996,189.0,54.0,81.0,135.0,675.0,567.0,135.0,3739.551300000001,2301.3261,2923.2684000000004,29.2188,2580.7572,1438.2251999999996,43849.036799999994,198.0,180.0,54.0,108.0,558.0,432.0,18.0,2025.0162,2004.9696000000004,1792.3769999999997,25.0786,2856.2724,20.0466,26885.642399999997,40.0,30.0,20.0,60.0,410.0,310.0,10.0,332.968,272.307,950.389,28.55,928.2640000000001,60.660999999999994,20845.204999999998
Se-Hun Oh,2,2,0,0,1,0,1,2,0,11.63,0.13,0.03,13,6,5,46.15,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,2,0,5,4,3,0,3,2,0.03,-0.05,-0.03,10,0,0,0,1,0,0,1.54,26.89,0.01,-0.0,0.01,0,0,18,2,0,9,5,3,3,8,1,100.0,0.78,42.1,Junya Suzuki(4),,,,,,,,,,,,,,,,,,,,58,30,13,-0.1707,0.0326929899,-0.2033929899,242.0,154.0,154.0,242.0,682.0,550.0,88.0,3657.473599999999,2534.107400000001,1985.8762000000002,29.6694,5090.3578,1123.3662000000002,29788.151800000003,162.0,162.0,108.0,135.0,567.0,567.0,0.0,1058.5431,946.5282000000001,2356.7192999999997,27.6029,5618.7054,112.0122,35350.7949,374.0,220.0,88.0,176.0,902.0,858.0,154.0,7164.579399999999,5361.422,2493.8781999999997,28.704,6257.294999999998,1803.1574000000003,50916.696600000025,308.0,224.0,168.0,252.0,1092.0,560.0,84.0,3981.4824,3193.8059999999996,3096.8055999999997,26.2487,5203.618,787.6764000000001,46452.07559999999,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,13.6802,17.1641,4.551,0.0,34.8845,,,,,,,,,,,,,,
Isa Sakamoto,2,2,0,0,2,0,0,2,0,16.45,0.53,0.71,6,3,3,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,3,2,0.0,-0.0,-0.0,10,0,1,0,0,0,0,2.21,34.4,0.21,-0.0,0.21,1,1,9,1,0,4,1,1,0,1,0,100.0,0.1,54.9,Takeru Kishimoto(2),0.0,0.0,0.0,0.0,0.0,3.0,100.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,25,12,2,0.3514,-0.0052,0.3566,96.0,84.0,24.0,72.0,372.0,228.0,12.0,1021.3956000000001,950.0604,1099.5576,27.7702,2481.5951999999997,71.3352,16493.366400000003,150.0,120.0,45.0,75.0,435.0,315.0,30.0,2046.549,1877.9460000000001,1422.1499999999996,26.9527,3391.863000000001,168.60150000000004,21332.2485,132.0,120.0,48.0,72.0,504.0,384.0,12.0,1505.8668000000002,1184.94,1410.762,28.481,2935.7363999999993,320.9268,28803.0636,66.0,55.0,44.0,55.0,209.0,121.0,11.0,739.3045000000002,668.9639,1058.9975,26.9185,1130.8352000000002,70.3406,9919.2797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sang-Ho Na,2,2,0,0,0,0,2,2,0,23.41,0.09,0.0,3,2,1,66.67,1,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2,2,0.07,-0.01,0.07,6,1,0,0,0,0,1,8.91,57.31,0.12,0.0,0.12,1,1,3,1,0,2,2,1,0,0,0,100.0,0.02,28.0,Dawhan Fran Urano Da Purificação Oliveira(1),,,,,,,,,,,,,,,,,,,,8,6,2,0.861,0.0113,0.8497,160.0,40.0,100.0,140.0,680.0,600.0,120.0,3026.1899999999996,1839.7020000000005,2039.0680000000004,29.9332,5929.9439999999995,1186.4879999999998,30586.028000000002,6.0,6.0,6.0,3.0,33.0,33.0,0.0,61.206,61.206,223.29659999999998,21.7358,416.07149999999996,0.0,1607.7366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shota Fujio,1,1,0,0,1,0,0,1,0,8.1,0.09,0.02,15,8,6,53.33,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,8,3,1,1,6,4,0.02,-0.02,0.0,9,3,0,0,0,0,1,12.25,119.68,0.07,-0.01,0.06,1,0,10,1,0,6,3,1,0,1,0,100.0,0.31,34.55,Kotaro Hayashi(3),,,,,,,,,,,,,,,,,,,,56,32,9,-0.0623,-0.0263,-0.036,,,,,,,,,,,,,,,120.0,84.0,84.0,36.0,192.0,204.0,36.0,1240.9283999999998,982.6452000000002,1585.5564,30.8495,2147.4048,258.28319999999997,12340.917599999997,651.0,279.0,279.0,310.0,1364.0,1302.0,372.0,12539.546500000002,7731.341100000002,3967.8945999999996,29.4178,10054.360199999997,4808.2054,81011.20259999998,522.0,348.0,203.0,174.0,986.0,986.0,174.0,6915.4067000000005,3742.6877999999997,3609.5169000000005,28.785,7351.758099999999,3172.718900000001,54142.76220000002,138.0,115.0,69.0,92.0,851.0,483.0,23.0,1326.5203999999999,1104.7704999999999,2398.6171,27.0631,5154.964699999999,221.7499,35979.2404,24.0,12.0,30.0,6.0,108.0,90.0,12.0,715.056,407.0387999999999,793.1028,29.8131,762.0282,308.0172,5564.9376
Neta Lavi,1,2,0,0,0,0,1,0,1,25.61,0.07,0.0,40,36,4,90.0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,7,6,12,10,22,19,3,3,9,9,0.06,-0.04,0.02,40,6,0,0,0,0,1,4.31,284.82,0.08,-0.0,0.07,0,0,38,2,0,4,4,1,0,0,0,100.0,0.07,50.7,Shinnosuke Nakatani(9),,,,,,,,,,,,,,,,,,,,79,20,2,0.0103,0.0170999999999999,-0.0067999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,28.0,0.0,0.0,182.0,126.0,0.0,719.5943999999998,719.5943999999998,1620.8052,24.0782,1366.9138,0.0,9103.521,260.0,208.0,0.0,260.0,1508.0,936.0,52.0,1745.5100000000004,1311.0863999999997,4889.2375999999995,29.3661,9228.3152,434.42360000000014,73338.58479999998,732.0,732.0,244.0,427.0,2928.0,2684.0,0.0,6331.159499999999,6331.159499999999,6708.352999999999,23.2847,20190.194799999997,0.0,147136.53230000005
